,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
108,28,79,8,9,28079008_9_47,2020,1,29.0,V,19.0,V,38.0,V,7.0,V,8.0,V,14.0,V,17.0,V,19.0,V,20.0,V,7.0,V,6.0,V,20.0,V,25.0,V,23.0,V,21.0,V,20.0,V,8.0,V,9.0,V,3.0,V,4.0,V,3.0,V,8.0,V,17.0,V,13.0,V,7.0,V,9.0,V,10.0,V,6.0,V,6.0,V,6.0,V,5.0,V,13.129032258064516
109,28,79,8,9,28079008_9_47,2020,2,6.0,V,9.0,V,21.0,V,23.0,V,6.0,V,13.0,V,15.0,V,20.0,V,16.0,V,17.0,V,24.0,V,21.0,V,17.0,V,18.0,V,19.0,V,16.0,V,11.0,V,7.0,V,8.0,V,15.0,V,11.0,V,13.0,V,9.0,V,10.0,V,13.0,V,4.0,V,17.0,V,19.0,V,13.0,V,0.0,N,0.0,N,14.206896551724139
110,28,79,8,9,28079008_9_47,2020,3,3.0,V,2.0,V,5.0,V,5.0,V,5.0,V,3.0,V,4.0,V,7.0,V,5.0,V,11.0,V,11.0,V,9.0,V,13.0,V,10.0,V,7.0,V,4.0,V,4.0,V,12.0,V,9.0,V,10.0,V,7.0,V,3.0,V,4.0,V,6.0,V,6.0,V,5.0,V,8.0,V,5.0,V,9.0,V,6.0,V,4.0,V,6.580645161290323
111,28,79,8,9,28079008_9_47,2020,4,5.0,V,5.0,V,5.0,V,5.0,V,4.0,V,10.0,V,10.0,N,11.0,V,8.0,V,11.0,V,8.0,V,9.0,V,13.0,V,8.0,V,6.0,V,10.0,V,6.0,V,8.0,V,9.0,V,8.0,V,4.0,V,6.0,V,7.0,V,10.0,V,9.0,V,10.0,V,7.0,V,6.0,V,6.0,V,7.0,V,0.0,N,7.8
112,28,79,8,9,28079008_9_47,2020,5,16.0,V,12.0,V,12.0,V,18.0,V,5.0,V,6.0,V,8.0,V,9.0,V,16.0,V,5.0,V,6.0,V,12.0,V,7.0,V,6.0,V,10.0,V,8.0,V,7.0,V,8.0,V,8.0,V,7.0,V,9.0,V,20.0,V,29.0,V,20.0,V,26.0,V,22.0,V,13.0,V,9.0,V,12.0,V,16.0,V,12.0,V,12.193548387096774
113,28,79,8,9,28079008_9_47,2020,6,13.0,V,33.0,V,30.0,V,10.0,V,10.0,V,16.0,V,18.0,V,4.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,17.375
114,28,79,8,9,28079008_9_47,2020,7,11.0,V,6.0,V,4.0,V,6.0,V,8.0,V,8.0,V,6.0,V,12.0,V,11.0,V,8.0,V,14.0,V,20.0,V,6.0,V,9.0,V,7.0,V,5.0,V,5.0,V,8.0,V,12.0,V,15.0,V,17.0,V,12.0,V,12.0,V,12.0,V,9.0,V,13.0,V,15.0,V,16.0,V,15.0,V,18.0,V,14.0,V,10.96774193548387
115,28,79,8,9,28079008_9_47,2020,8,11.0,V,13.0,V,4.0,V,7.0,V,9.0,V,15.0,V,9.0,V,10.0,V,11.0,V,13.0,V,13.0,V,9.0,V,11.0,V,10.0,V,7.0,V,5.0,V,7.0,V,6.0,V,9.0,V,8.0,V,11.0,V,7.0,V,6.0,V,12.0,V,10.0,V,18.0,V,9.0,N,8.0,V,4.0,V,3.0,V,5.0,V,9.258064516129032
116,28,79,8,9,28079008_9_47,2020,9,7.0,V,5.0,V,10.0,V,9.0,V,7.0,V,9.0,V,6.0,V,5.0,V,7.0,V,8.0,V,8.0,V,9.0,V,8.0,V,8.0,V,15.0,V,11.0,V,20.0,V,10.0,V,5.0,V,6.0,V,7.0,V,6.0,V,7.0,V,13.0,V,3.0,V,6.0,V,4.0,V,5.0,V,9.0,V,9.0,V,0.0,N,8.333333333333334
117,28,79,8,9,28079008_9_47,2020,10,9.0,V,4.0,V,4.0,V,5.0,V,4.0,V,9.0,V,10.0,V,11.0,V,15.0,V,10.0,V,3.0,V,2.0,V,9.0,V,3.0,V,4.0,V,6.0,V,8.0,V,10.0,V,11.0,V,16.0,V,10.0,V,11.0,V,6.0,V,6.0,V,5.0,V,3.0,V,5.0,V,8.0,V,15.0,V,16.0,V,14.0,V,8.419354838709678
