,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
108,28,79,8,9,28079008_9_47,2011,1,11.0,V,11.0,V,14.0,V,12.0,V,12.0,V,8.0,V,16.0,V,8.0,V,8.0,V,10.0,V,10.0,V,24.0,V,21.0,V,27.0,V,20.0,V,18.0,V,37.0,V,28.0,V,25.0,V,13.0,V,7.0,V,7.0,V,8.0,V,12.0,V,16.0,V,16.0,V,14.0,V,10.0,V,11.0,V,13.0,V,11.0,V,14.774193548387096
109,28,79,8,9,28079008_9_47,2011,2,14.0,V,17.0,V,26.0,V,30.0,V,20.0,V,20.0,V,14.0,V,16.0,V,27.0,V,21.0,V,24.0,V,20.0,V,9.0,V,6.0,V,8.0,V,6.0,V,8.0,V,11.0,V,9.0,V,8.0,V,9.0,V,11.0,V,18.0,V,15.0,V,21.0,V,24.0,V,5.0,V,6.0,V,0.0,N,0.0,N,0.0,N,15.142857142857142
110,28,79,8,9,28079008_9_47,2011,3,8.0,V,12.0,V,15.0,V,14.0,V,11.0,V,10.0,V,14.0,V,16.0,V,17.0,V,22.0,V,19.0,V,10.0,V,11.0,V,11.0,V,10.0,V,13.0,V,14.0,V,13.0,V,11.0,V,10.0,V,13.0,V,10.0,V,11.0,V,12.0,V,17.0,V,22.0,V,8.0,V,0.0,N,0.0,N,11.0,V,17.0,V,13.241379310344827
111,28,79,8,9,28079008_9_47,2011,4,19.0,V,19.0,V,28.0,V,17.0,V,18.0,V,19.0,V,22.0,V,27.0,V,33.0,V,22.0,V,9.0,V,17.0,V,14.0,V,17.0,V,10.0,V,14.0,V,11.0,V,11.0,V,14.0,V,12.0,V,11.0,V,4.0,V,5.0,V,5.0,V,8.0,V,11.0,V,18.0,V,19.0,V,17.0,V,9.0,V,0.0,N,15.433333333333334
112,28,79,8,9,28079008_9_47,2011,5,9.0,V,10.0,V,14.0,V,13.0,V,15.0,V,15.0,V,11.0,V,10.0,V,14.0,V,0.0,N,0.0,N,14.0,V,14.0,V,15.0,V,6.0,V,10.0,V,14.0,V,13.0,V,10.0,V,12.0,V,15.0,V,13.0,V,15.0,V,15.0,V,17.0,V,19.0,V,16.0,V,12.0,V,14.0,V,16.0,V,9.0,V,13.241379310344827
113,28,79,8,9,28079008_9_47,2011,6,7.0,V,11.0,V,11.0,V,12.0,V,10.0,V,13.0,V,11.0,V,10.0,V,15.0,V,13.0,V,9.0,V,12.0,V,12.0,V,14.0,V,17.0,V,15.0,V,14.0,V,9.0,V,12.0,V,19.0,V,16.0,V,17.0,V,12.0,V,18.0,V,19.0,V,22.0,V,25.0,V,26.0,V,18.0,V,14.0,V,0.0,N,14.6
114,28,79,8,9,28079008_9_47,2011,7,17.0,V,18.0,V,15.0,V,17.0,V,17.0,V,12.0,V,13.0,V,12.0,V,10.0,V,10.0,V,19.0,V,13.0,V,7.0,V,10.0,V,13.0,V,15.0,V,6.0,V,9.0,V,7.0,V,8.0,V,13.0,V,13.0,V,10.0,V,7.0,V,10.0,V,16.0,V,10.0,V,18.0,V,19.0,V,18.0,V,14.0,V,12.96774193548387
115,28,79,8,9,28079008_9_47,2011,8,19.0,V,16.0,V,15.0,V,15.0,V,13.0,V,9.0,V,7.0,V,9.0,V,10.0,V,14.0,V,22.0,V,24.0,V,13.0,V,18.0,V,14.0,V,17.0,V,17.0,V,22.0,V,21.0,V,18.0,V,15.0,V,18.0,V,17.0,V,13.0,V,14.0,V,7.0,V,7.0,V,11.0,V,16.0,V,14.0,V,12.0,V,14.96774193548387
116,28,79,8,9,28079008_9_47,2011,9,10.0,V,8.0,V,10.0,V,9.0,V,10.0,V,14.0,V,18.0,V,15.0,V,22.0,V,19.0,V,10.0,V,17.0,V,23.0,V,15.0,V,14.0,V,19.0,V,20.0,V,9.0,V,9.0,V,17.0,V,18.0,V,24.0,V,22.0,V,13.0,V,18.0,V,23.0,V,25.0,V,20.0,V,20.0,V,22.0,V,0.0,N,16.7
117,28,79,8,9,28079008_9_47,2011,10,22.0,V,25.0,V,23.0,V,21.0,V,20.0,V,23.0,V,13.0,V,6.0,V,9.0,V,20.0,V,21.0,V,18.0,V,20.0,V,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,11.0,V,11.0,V,11.0,V,10.0,V,11.0,V,14.0,V,20.0,V,16.9
118,28,79,8,9,28079008_9_47,2011,11,17.0,V,17.0,V,11.0,V,10.0,V,10.0,V,10.0,V,19.0,V,17.0,V,18.0,V,22.0,V,21.0,V,13.0,V,10.0,V,12.0,V,11.0,V,12.0,V,12.0,V,12.0,V,8.0,V,11.0,V,13.0,V,13.0,V,11.0,V,16.0,V,15.0,V,15.0,V,16.0,V,20.0,V,25.0,V,23.0,V,0.0,N,15.0
119,28,79,8,9,28079008_9_47,2011,12,21.0,V,10.0,V,15.0,V,20.0,V,18.0,V,10.0,V,18.0,V,20.0,V,23.0,V,20.0,V,12.0,V,11.0,V,11.0,V,11.0,V,11.0,V,10.0,V,10.0,V,9.0,V,17.0,V,28.0,V,33.0,V,27.0,V,28.0,V,7.0,V,11.0,V,16.0,V,21.0,V,18.0,V,7.0,V,17.0,V,23.0,V,16.903225806451612
588,28,79,24,9,28079024_9_47,2011,1,9.0,V,9.0,V,10.0,V,8.0,V,9.0,V,7.0,V,14.0,V,6.0,V,4.0,V,2.0,V,2.0,V,12.0,V,19.0,V,17.0,V,12.0,V,14.0,V,28.0,V,23.0,V,18.0,V,9.0,V,3.0,V,4.0,V,6.0,V,7.0,V,12.0,V,10.0,V,9.0,V,5.0,V,5.0,V,10.0,V,8.0,V,10.419354838709678
589,28,79,24,9,28079024_9_47,2011,2,10.0,V,14.0,V,15.0,V,15.0,V,13.0,V,12.0,V,12.0,V,15.0,V,18.0,V,19.0,V,20.0,V,16.0,V,7.0,V,3.0,V,3.0,V,3.0,V,4.0,V,7.0,V,8.0,V,4.0,V,5.0,V,5.0,V,9.0,V,9.0,V,11.0,V,12.0,V,4.0,V,3.0,V,0.0,N,0.0,N,0.0,N,10.321428571428571
590,28,79,24,9,28079024_9_47,2011,3,5.0,V,8.0,V,11.0,V,10.0,V,7.0,V,8.0,V,11.0,V,13.0,V,13.0,V,17.0,V,15.0,V,6.0,V,6.0,V,6.0,V,4.0,V,5.0,V,7.0,V,8.0,V,7.0,V,6.0,V,9.0,V,7.0,V,7.0,V,7.0,V,13.0,V,16.0,V,4.0,V,6.0,V,5.0,V,6.0,V,10.0,V,8.935483870967742
591,28,79,24,9,28079024_9_47,2011,4,12.0,V,20.0,V,22.0,V,13.0,V,14.0,V,16.0,V,17.0,V,16.0,V,22.0,V,16.0,V,7.0,V,13.0,V,12.0,V,11.0,V,9.0,V,12.0,V,10.0,V,9.0,V,11.0,V,10.0,V,10.0,V,3.0,V,5.0,V,5.0,V,6.0,V,8.0,V,14.0,V,14.0,V,13.0,V,6.0,V,0.0,N,12.366666666666667
592,28,79,24,9,28079024_9_47,2011,5,7.0,V,7.0,V,8.0,V,8.0,V,9.0,V,13.0,V,9.0,V,6.0,V,10.0,V,12.0,V,11.0,V,11.0,V,10.0,V,11.0,V,4.0,V,7.0,V,10.0,V,10.0,V,7.0,V,9.0,V,10.0,V,10.0,V,10.0,V,10.0,V,13.0,V,14.0,V,11.0,V,0.0,N,0.0,N,9.0,V,6.0,V,9.931034482758621
593,28,79,24,9,28079024_9_47,2011,6,4.0,V,8.0,V,8.0,V,7.0,V,7.0,V,8.0,V,6.0,V,6.0,V,9.0,V,9.0,V,8.0,V,9.0,V,7.0,V,9.0,V,11.0,V,8.0,V,8.0,V,6.0,V,10.0,V,12.0,V,11.0,V,10.0,V,9.0,V,13.0,V,15.0,V,18.0,V,21.0,V,23.0,V,14.0,V,10.0,V,0.0,N,10.7
594,28,79,24,9,28079024_9_47,2011,7,13.0,V,15.0,V,13.0,V,13.0,V,12.0,V,7.0,V,8.0,V,6.0,V,5.0,V,6.0,V,11.0,V,8.0,V,5.0,V,8.0,V,11.0,V,11.0,V,4.0,V,7.0,V,5.0,V,6.0,V,8.0,V,10.0,V,9.0,V,6.0,V,8.0,V,12.0,V,6.0,V,10.0,V,13.0,V,13.0,V,11.0,V,9.612903225806452
595,28,79,24,9,28079024_9_47,2011,8,16.0,V,10.0,V,9.0,V,11.0,V,6.0,V,6.0,V,4.0,V,6.0,V,7.0,V,11.0,V,15.0,V,17.0,V,9.0,V,14.0,V,9.0,V,11.0,V,10.0,V,15.0,V,13.0,V,14.0,V,13.0,V,7.0,V,10.0,V,7.0,V,7.0,V,4.0,V,4.0,V,7.0,V,7.0,V,7.0,V,6.0,V,10.03225806451613
596,28,79,24,9,28079024_9_47,2011,9,5.0,V,3.0,V,5.0,V,5.0,V,6.0,V,8.0,V,9.0,V,9.0,V,11.0,V,12.0,V,6.0,V,7.0,V,11.0,V,10.0,V,9.0,V,13.0,V,14.0,V,6.0,V,5.0,V,8.0,V,12.0,V,14.0,V,15.0,V,8.0,V,10.0,V,13.0,V,13.0,V,14.0,V,14.0,V,17.0,V,0.0,N,10.4
597,28,79,24,9,28079024_9_47,2011,10,21.0,V,20.0,V,18.0,V,8.0,V,10.0,V,11.0,V,8.0,V,3.0,V,6.0,V,8.0,V,12.0,V,11.0,V,12.0,V,10.0,V,12.0,V,15.0,V,15.0,V,16.0,V,22.0,V,4.0,V,9.0,V,15.0,V,11.0,V,7.0,V,5.0,V,8.0,V,8.0,V,6.0,V,6.0,V,9.0,V,14.0,V,11.64516129032258
598,28,79,24,9,28079024_9_47,2011,11,14.0,V,15.0,V,6.0,V,6.0,V,5.0,V,5.0,V,13.0,V,11.0,V,14.0,V,15.0,V,10.0,V,10.0,V,8.0,V,8.0,V,7.0,V,9.0,V,12.0,V,10.0,V,6.0,V,8.0,V,8.0,V,8.0,V,9.0,V,11.0,V,13.0,V,12.0,V,15.0,V,17.0,V,21.0,V,22.0,V,0.0,N,11.666666666666666
599,28,79,24,9,28079024_9_47,2011,12,22.0,V,7.0,V,7.0,V,13.0,V,12.0,V,5.0,V,18.0,V,17.0,V,20.0,V,15.0,V,9.0,V,5.0,V,5.0,V,5.0,V,6.0,V,4.0,V,6.0,V,6.0,V,9.0,V,17.0,V,33.0,V,21.0,V,20.0,V,7.0,V,10.0,V,12.0,V,14.0,V,12.0,V,8.0,V,10.0,V,18.0,V,12.774193548387096
972,28,79,38,9,28079038_9_47,2011,1,10.0,V,9.0,V,13.0,V,10.0,V,10.0,V,8.0,V,14.0,V,7.0,V,7.0,V,8.0,V,7.0,V,21.0,V,27.0,V,25.0,V,20.0,V,15.0,V,36.0,V,24.0,V,23.0,V,9.0,V,5.0,V,5.0,V,6.0,V,10.0,V,15.0,V,11.0,V,11.0,V,7.0,V,7.0,V,12.0,V,11.0,V,13.774193548387096
973,28,79,38,9,28079038_9_47,2011,2,15.0,V,18.0,V,26.0,V,28.0,V,19.0,V,19.0,V,20.0,V,18.0,V,29.0,V,24.0,V,25.0,V,20.0,V,7.0,V,5.0,V,6.0,V,5.0,V,8.0,V,13.0,V,9.0,V,8.0,V,7.0,V,7.0,V,16.0,V,13.0,V,19.0,V,18.0,V,5.0,V,6.0,V,0.0,N,0.0,N,0.0,N,15.642857142857142
974,28,79,38,9,28079038_9_47,2011,3,7.0,V,12.0,V,15.0,V,12.0,V,9.0,V,10.0,V,13.0,V,14.0,V,15.0,V,18.0,V,15.0,V,8.0,V,9.0,V,8.0,V,6.0,V,9.0,V,12.0,V,13.0,V,11.0,V,0.0,N,0.0,N,8.0,V,11.0,V,12.0,V,17.0,V,18.0,V,6.0,V,9.0,V,8.0,V,10.0,V,15.0,V,12.275862068965518
975,28,79,38,9,28079038_9_47,2011,4,16.0,V,17.0,V,27.0,V,16.0,V,17.0,V,17.0,V,21.0,V,24.0,V,29.0,V,18.0,V,10.0,V,15.0,V,11.0,V,15.0,V,11.0,V,14.0,V,10.0,V,11.0,V,13.0,V,11.0,V,9.0,V,5.0,V,7.0,V,7.0,V,9.0,V,12.0,V,17.0,V,15.0,V,14.0,V,8.0,V,0.0,N,15.1
