,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
13,73,28,79,8,6,28079008_6_48,2010,2,0.4,V,0.5,V,0.6,V,0.5,V,0.4,V,0.4,V,0.5,V,0.5,V,0.4,V,0.5,V,0.4,V,0.5,V,0.4,V,0.4,V,0.5,V,0.6,V,0.4,V,0.5,V,0.5,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.0,N,0.0,N,0.0,N,0.9035714285714281
14,74,28,79,8,6,28079008_6_48,2010,3,0.4,V,0.4,V,0.4,V,0.5,V,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.5,V,0.4,V,0.4,V,0.5,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.8612903225806445
15,75,28,79,8,6,28079008_6_48,2010,4,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.0,N,0.8966666666666658
16,76,28,79,8,6,28079008_6_48,2010,5,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.877419354838709
17,77,28,79,8,6,28079008_6_48,2010,6,0.4,V,0.4,V,0.3,V,0.4,V,0.4,V,0.3,V,0.4,V,0.4,V,0.3,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.3,V,0.4,V,0.4,V,0.5,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.0,N,0.9333333333333328
18,78,28,79,8,6,28079008_6_48,2010,7,0.5,V,0.5,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.5,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.2,V,0.3,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.9483870967741932
19,79,28,79,8,6,28079008_6_48,2010,8,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.4,V,0.3,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.932258064516129
20,80,28,79,8,6,28079008_6_48,2010,9,0.3,V,0.4,V,0.3,V,0.4,V,0.4,V,0.5,V,0.4,V,0.3,V,0.4,V,0.4,V,0.5,V,0.5,V,0.4,V,0.4,V,0.5,V,0.4,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.3,V,0.3,V,0.3,V,0.4,V,0.5,V,0.4,V,0.5,V,0.0,N,1.0666666666666662
21,81,28,79,8,6,28079008_6_48,2010,10,0.5,V,0.5,V,0.3,V,0.4,V,0.5,V,0.7,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.3,V,0.5,V,0.5,V,0.4,V,0.3,V,0.3,V,0.5,V,0.7,V,0.8,V,0.7,V,0.6,V,0.6,V,0.5,V,0.4,V,0.6,V,0.7,V,0.8,V,0.6,V,0.3,V,0.3,V,1.1645161290322579
22,82,28,79,8,6,28079008_6_48,2010,11,0.3,V,0.5,V,1.0,V,0.9,V,0.5,V,0.4,V,0.3,V,0.4,V,0.0,N,0.4,V,0.5,V,0.6,V,0.5,V,0.4,V,0.4,V,0.5,V,0.4,V,0.5,V,0.5,V,0.4,V,0.3,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.5,V,0.5,V,0.4,V,0.0,N,1.237931034482758
23,83,28,79,8,6,28079008_6_48,2010,12,0.4,V,0.4,V,0.5,V,0.4,V,0.5,V,0.3,V,0.3,V,0.3,V,0.5,V,0.5,V,0.6,V,0.8,V,1.1,V,0.5,V,0.4,V,0.4,V,0.7,V,0.5,V,0.4,V,0.4,V,0.5,V,0.3,V,0.4,V,0.4,V,0.4,V,0.5,V,0.6,V,0.7,V,0.7,V,0.5,V,0.4,V,1.2354838709677416
24,300,28,79,16,6,28079016_6_48,2010,1,0.3,V,0.4,V,0.5,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.4,V,0.4,V,0.5,V,0.5,V,0.3,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.7,V,0.7,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.6,V,0.7,V,0.3,V,0.3,V,1.1967741935483867
