,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
10,28,79,4,6,28079004_6_48,2021,1,0.2,V,0.3,V,0.4,V,0.3,V,0.5,V,0.5,V,0.3,V,0.3,V,0.0,N,0.0,N,0.5,N,0.6,V,0.8,V,1.0,V,0.9,V,0.9,V,0.9,V,0.9,V,0.6,V,0.5,N,0.0,N,0.3,N,0.3,N,0.0,N,0.3,N,0.6,N,1.1,N,0.0,N,0.0,N,0.0,N,0.0,N,0.5652173913043479
11,28,79,4,6,28079004_6_48,2021,2,0.2,N,0.2,V,0.2,N,0.4,N,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.4,V,0.5,V,0.4,N,0.4,V,0.3,V,0.2,V,0.3,V,0.3,N,0.4,V,0.3,V,0.3,V,0.4,V,0.2,V,0.0,N,0.0,N,0.0,N,0.3428571428571429
12,28,79,4,6,28079004_6_48,2021,3,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.4,V,0.3,V,0.4,V,0.4,V,0.3,V,0.4,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3806451612903227
13,28,79,4,6,28079004_6_48,2021,4,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.4,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.3,V,0.0,N,0.3666666666666668
14,28,79,4,6,28079004_6_48,2021,5,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.1,V,0.2,V,0.3,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3451612903225805
15,28,79,4,6,28079004_6_48,2021,6,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.1,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.0,N,0.36333333333333306
16,28,79,4,6,28079004_6_48,2021,7,0.2,V,0.2,V,0.1,V,0.1,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,N,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.4032258064516126
17,28,79,4,6,28079004_6_48,2021,8,0.2,V,0.2,V,0.2,V,0.2,V,0.2,N,0.3,N,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.4,N,0.0,N,0.0,N,0.3,N,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.4758620689655171
18,28,79,4,6,28079004_6_48,2021,9,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.4,V,0.3,V,0.3,V,0.3,V,0.0,N,0.52
19,28,79,4,6,28079004_6_48,2021,10,0.4,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.4,N,0.3,V,0.2,V,0.3,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.4,V,0.4,V,0.4,V,0.4,V,0.2,V,0.3,V,0.3,V,0.4,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.8210526315789477
