,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
13,97,28,79,8,8,28079008_8_8,2010,2,45.0,V,50.0,V,60.0,V,52.0,V,41.0,V,42.0,V,50.0,V,50.0,V,38.0,V,41.0,V,37.0,V,44.0,V,33.0,V,34.0,V,49.0,V,52.0,V,43.0,V,48.0,V,53.0,V,38.0,V,42.0,V,46.0,V,44.0,V,37.0,V,43.0,V,45.0,V,38.0,V,26.0,V,0.0,N,0.0,N,0.0,N,44.07142857142857
14,98,28,79,8,8,28079008_8_8,2010,3,35.0,V,39.0,V,43.0,V,49.0,V,44.0,V,39.0,V,35.0,V,33.0,V,41.0,V,42.0,V,42.0,V,44.0,V,39.0,V,33.0,V,53.0,V,48.0,V,42.0,V,56.0,V,46.0,V,33.0,V,33.0,V,43.0,V,44.0,V,34.0,V,34.0,V,34.0,V,32.0,V,38.0,V,39.0,V,32.0,V,30.0,V,40.096774193548384
15,99,28,79,8,8,28079008_8_8,2010,4,19.0,V,25.0,V,26.0,V,28.0,V,30.0,V,42.0,V,35.0,V,35.0,V,32.0,V,31.0,V,37.0,V,36.0,V,41.0,V,39.0,V,41.0,V,38.0,V,32.0,V,28.0,V,34.0,V,41.0,V,47.0,V,35.0,V,40.0,V,36.0,V,37.0,V,40.0,V,46.0,V,36.0,V,36.0,V,41.0,V,0.0,N,35.96666666666667
16,100,28,79,8,8,28079008_8_8,2010,5,24.0,V,22.0,V,19.0,V,20.0,V,29.0,V,34.0,V,37.0,V,27.0,V,22.0,V,28.0,V,35.0,V,34.0,V,35.0,V,31.0,V,22.0,V,22.0,V,31.0,V,36.0,V,30.0,V,35.0,V,43.0,V,37.0,V,30.0,V,30.0,V,31.0,V,44.0,V,60.0,V,51.0,V,52.0,V,56.0,V,56.0,V,34.806451612903224
17,101,28,79,8,8,28079008_8_8,2010,6,55.0,V,59.0,V,47.0,V,67.0,V,65.0,V,49.0,V,55.0,V,52.0,V,47.0,V,49.0,V,54.0,V,52.0,V,41.0,V,55.0,V,40.0,V,52.0,V,62.0,V,77.0,V,40.0,V,34.0,V,52.0,V,67.0,V,79.0,V,69.0,V,70.0,V,47.0,V,51.0,V,58.0,V,64.0,V,82.0,V,0.0,N,56.93333333333333
18,102,28,79,8,8,28079008_8_8,2010,7,92.0,V,101.0,V,51.0,V,66.0,V,70.0,V,64.0,V,84.0,V,94.0,V,73.0,V,62.0,V,64.0,V,71.0,V,70.0,V,58.0,V,72.0,V,93.0,V,51.0,V,46.0,V,80.0,V,73.0,V,64.0,V,58.0,V,45.0,V,34.0,V,28.0,V,48.0,V,60.0,V,88.0,V,62.0,V,52.0,V,61.0,V,66.2258064516129
19,103,28,79,8,8,28079008_8_8,2010,8,55.0,V,55.0,V,35.0,V,43.0,V,41.0,V,54.0,V,49.0,V,63.0,V,67.0,V,82.0,V,72.0,V,58.0,V,29.0,V,27.0,V,26.0,V,28.0,V,47.0,V,57.0,V,58.0,V,71.0,V,72.0,V,50.0,V,56.0,V,48.0,V,87.0,V,88.0,V,59.0,V,40.0,V,34.0,V,57.0,V,62.0,V,54.483870967741936
20,104,28,79,8,8,28079008_8_8,2010,9,50.0,V,73.0,V,63.0,V,74.0,V,75.0,V,89.0,V,46.0,V,48.0,V,63.0,V,75.0,V,85.0,V,80.0,V,64.0,V,78.0,V,0.0,N,73.0,V,53.0,V,31.0,V,35.0,V,40.0,V,41.0,V,47.0,V,47.0,V,28.0,V,19.0,V,22.0,V,33.0,V,75.0,V,90.0,V,125.0,V,0.0,N,60.06896551724138
21,105,28,79,8,8,28079008_8_8,2010,10,135.0,V,125.0,V,60.0,V,73.0,V,108.0,V,137.0,V,102.0,V,90.0,V,70.0,V,63.0,V,89.0,V,58.0,V,88.0,V,84.0,V,78.0,V,55.0,V,37.0,V,65.0,V,96.0,V,118.0,V,102.0,V,103.0,V,95.0,V,82.0,V,50.0,V,89.0,V,108.0,V,119.0,V,84.0,V,45.0,V,41.0,V,86.12903225806451
22,106,28,79,8,8,28079008_8_8,2010,11,41.0,V,67.0,V,108.0,V,95.0,V,75.0,V,64.0,V,45.0,V,46.0,V,0.0,N,58.0,V,66.0,V,82.0,V,72.0,V,54.0,V,56.0,V,68.0,V,62.0,V,70.0,V,73.0,V,53.0,V,50.0,V,64.0,V,75.0,V,75.0,V,73.0,V,64.0,V,58.0,V,66.0,V,66.0,V,58.0,V,0.0,N,66.41379310344827
23,107,28,79,8,8,28079008_8_8,2010,12,53.0,V,64.0,V,70.0,V,72.0,V,73.0,V,53.0,V,49.0,V,42.0,V,62.0,V,62.0,V,52.0,V,62.0,V,88.0,V,63.0,V,50.0,V,65.0,V,95.0,V,75.0,V,47.0,V,59.0,V,69.0,V,57.0,V,56.0,V,53.0,V,51.0,V,66.0,V,88.0,V,95.0,V,87.0,V,74.0,V,61.0,V,65.6774193548387
24,240,28,79,11,8,28079011_8_8,2010,1,26.0,V,55.0,V,73.0,V,65.0,V,59.0,V,39.0,V,40.0,V,49.0,V,47.0,V,56.0,V,65.0,V,72.0,V,79.0,V,48.0,V,80.0,V,76.0,V,57.0,V,66.0,V,63.0,V,55.0,V,81.0,V,89.0,V,51.0,V,42.0,V,30.0,V,31.0,V,38.0,V,89.0,V,88.0,V,38.0,V,38.0,V,58.354838709677416
25,241,28,79,11,8,28079011_8_8,2010,2,49.0,V,74.0,V,86.0,V,78.0,V,37.0,V,44.0,V,73.0,V,60.0,V,52.0,V,54.0,V,51.0,V,54.0,V,27.0,V,42.0,V,52.0,V,57.0,V,45.0,V,58.0,V,69.0,V,43.0,V,58.0,V,59.0,V,53.0,V,33.0,V,50.0,V,58.0,V,55.0,V,34.0,V,0.0,N,0.0,N,0.0,N,54.642857142857146
26,242,28,79,11,8,28079011_8_8,2010,3,36.0,V,44.0,V,44.0,V,58.0,V,39.0,V,31.0,V,46.0,V,41.0,V,53.0,V,53.0,V,49.0,V,59.0,V,48.0,V,31.0,V,68.0,V,65.0,V,64.0,V,81.0,V,64.0,V,53.0,V,40.0,V,58.0,V,64.0,V,49.0,V,49.0,V,28.0,V,32.0,V,46.0,V,42.0,V,29.0,V,31.0,V,49.064516129032256
27,243,28,79,11,8,28079011_8_8,2010,4,25.0,V,25.0,V,28.0,V,33.0,V,33.0,V,58.0,V,39.0,V,38.0,V,33.0,V,33.0,V,39.0,V,30.0,V,36.0,V,39.0,V,50.0,V,64.0,V,59.0,V,53.0,V,71.0,V,66.0,V,76.0,V,53.0,V,70.0,V,53.0,V,56.0,V,59.0,V,61.0,V,58.0,V,52.0,V,51.0,V,0.0,N,48.93333333333333
28,244,28,79,11,8,28079011_8_8,2010,5,28.0,V,32.0,V,33.0,V,38.0,V,44.0,V,54.0,V,54.0,V,32.0,V,25.0,V,39.0,V,60.0,V,38.0,V,46.0,V,40.0,V,31.0,V,23.0,V,38.0,V,45.0,V,31.0,V,39.0,V,63.0,V,52.0,V,39.0,V,46.0,V,41.0,V,43.0,V,46.0,V,34.0,V,38.0,V,45.0,V,40.0,V,41.45161290322581
29,245,28,79,11,8,28079011_8_8,2010,6,49.0,V,40.0,V,36.0,V,49.0,V,49.0,V,29.0,V,39.0,V,33.0,V,52.0,V,30.0,V,26.0,V,36.0,V,17.0,V,34.0,V,35.0,V,45.0,V,58.0,V,71.0,V,32.0,V,18.0,V,44.0,V,58.0,V,68.0,V,69.0,V,63.0,V,33.0,V,38.0,V,37.0,V,48.0,V,68.0,V,0.0,N,44.43333333333333
30,246,28,79,11,8,28079011_8_8,2010,7,67.0,V,84.0,V,37.0,V,37.0,V,40.0,V,51.0,V,54.0,V,70.0,V,73.0,V,48.0,V,48.0,V,56.0,V,61.0,V,43.0,V,62.0,V,78.0,V,47.0,V,32.0,V,73.0,V,60.0,V,50.0,V,44.0,V,24.0,V,22.0,V,18.0,V,26.0,V,57.0,V,84.0,V,44.0,V,46.0,V,41.0,V,51.83870967741935
31,247,28,79,11,8,28079011_8_8,2010,8,37.0,V,52.0,V,20.0,V,34.0,V,22.0,V,43.0,V,45.0,V,50.0,V,52.0,V,62.0,V,62.0,V,47.0,V,16.0,V,20.0,V,17.0,V,24.0,V,38.0,V,53.0,V,45.0,V,61.0,V,50.0,V,27.0,V,27.0,V,41.0,V,83.0,V,67.0,V,41.0,V,19.0,V,25.0,V,42.0,V,64.0,V,42.483870967741936
32,248,28,79,11,8,28079011_8_8,2010,9,34.0,V,57.0,V,57.0,V,78.0,V,77.0,V,80.0,V,25.0,V,45.0,V,60.0,V,86.0,V,91.0,V,66.0,V,50.0,V,77.0,V,88.0,V,69.0,V,50.0,V,31.0,V,50.0,V,63.0,V,77.0,V,85.0,V,72.0,V,50.0,V,22.0,V,32.0,V,59.0,V,74.0,V,62.0,V,77.0,V,0.0,N,62.53333333333333
33,249,28,79,11,8,28079011_8_8,2010,10,90.0,V,84.0,V,53.0,V,46.0,V,86.0,V,107.0,V,67.0,V,83.0,V,51.0,V,35.0,V,71.0,V,30.0,V,69.0,V,72.0,V,69.0,V,39.0,V,26.0,V,58.0,V,96.0,V,127.0,V,112.0,V,106.0,V,96.0,V,74.0,V,42.0,V,96.0,V,113.0,V,133.0,V,92.0,V,43.0,V,32.0,V,75.19354838709677
34,250,28,79,11,8,28079011_8_8,2010,11,31.0,V,70.0,V,131.0,V,113.0,V,92.0,V,78.0,V,55.0,V,35.0,V,27.0,V,61.0,V,61.0,V,92.0,V,67.0,V,65.0,V,55.0,V,70.0,V,54.0,V,72.0,V,78.0,V,51.0,V,37.0,V,66.0,V,83.0,V,75.0,V,72.0,V,52.0,V,50.0,V,74.0,V,60.0,V,62.0,V,0.0,N,67.43333333333334
35,251,28,79,11,8,28079011_8_8,2010,12,43.0,V,62.0,V,73.0,V,70.0,V,63.0,V,54.0,V,72.0,V,55.0,V,62.0,V,63.0,V,60.0,V,70.0,V,116.0,V,57.0,V,37.0,V,67.0,V,114.0,V,83.0,V,40.0,V,67.0,V,84.0,V,84.0,V,63.0,V,62.0,V,48.0,V,75.0,V,98.0,V,96.0,V,84.0,V,77.0,V,69.0,V,71.06451612903226
36,324,28,79,16,8,28079016_8_8,2010,1,27.0,V,49.0,V,57.0,V,56.0,V,50.0,V,39.0,V,28.0,V,25.0,V,35.0,V,50.0,V,63.0,V,65.0,V,69.0,V,32.0,V,75.0,V,62.0,V,51.0,V,57.0,V,60.0,V,48.0,V,80.0,V,78.0,V,47.0,V,41.0,V,27.0,V,29.0,V,29.0,V,73.0,V,76.0,V,30.0,V,29.0,V,50.74193548387097
37,325,28,79,16,8,28079016_8_8,2010,2,41.0,V,62.0,V,72.0,V,68.0,V,40.0,V,43.0,V,64.0,V,60.0,V,36.0,V,45.0,V,29.0,V,44.0,V,25.0,V,35.0,V,47.0,V,46.0,V,43.0,V,47.0,V,55.0,V,39.0,V,43.0,V,50.0,V,52.0,V,34.0,V,43.0,V,53.0,V,44.0,V,26.0,V,0.0,N,0.0,N,0.0,N,47.25
38,326,28,79,16,8,28079016_8_8,2010,3,37.0,V,34.0,V,44.0,V,57.0,V,37.0,V,28.0,V,36.0,V,20.0,V,34.0,V,35.0,V,38.0,V,41.0,V,43.0,V,26.0,V,62.0,V,52.0,V,53.0,V,67.0,V,50.0,V,42.0,V,33.0,V,46.0,V,48.0,V,40.0,V,40.0,V,31.0,V,28.0,V,41.0,V,50.0,V,28.0,V,24.0,V,41.38709677419355
39,327,28,79,16,8,28079016_8_8,2010,4,18.0,V,28.0,V,29.0,V,28.0,V,27.0,V,46.0,V,28.0,V,28.0,V,25.0,V,24.0,V,28.0,V,23.0,V,28.0,V,31.0,V,34.0,V,43.0,V,38.0,V,36.0,V,56.0,V,48.0,V,49.0,V,38.0,V,56.0,V,40.0,V,43.0,V,45.0,V,48.0,V,44.0,V,34.0,V,39.0,V,0.0,N,37.36666666666667
40,328,28,79,16,8,28079016_8_8,2010,5,23.0,V,22.0,V,14.0,V,13.0,V,23.0,V,38.0,V,36.0,V,26.0,V,19.0,V,31.0,V,43.0,V,25.0,V,31.0,V,26.0,V,18.0,V,16.0,V,26.0,V,29.0,V,25.0,V,26.0,V,38.0,V,40.0,V,24.0,V,29.0,V,26.0,V,30.0,V,31.0,V,25.0,V,23.0,V,29.0,V,32.0,V,28.29032258064516
41,329,28,79,16,8,28079016_8_8,2010,6,32.0,V,32.0,V,24.0,V,34.0,V,31.0,V,25.0,V,26.0,V,26.0,V,33.0,V,26.0,V,24.0,V,29.0,V,14.0,V,26.0,V,18.0,V,34.0,V,42.0,V,44.0,V,19.0,V,10.0,V,32.0,V,42.0,V,50.0,V,42.0,V,39.0,V,25.0,V,23.0,V,26.0,V,25.0,V,46.0,V,0.0,N,31.333333333333332
42,330,28,79,16,8,28079016_8_8,2010,7,46.0,V,64.0,V,26.0,V,30.0,V,35.0,V,34.0,V,40.0,V,51.0,V,53.0,V,39.0,V,38.0,V,36.0,V,48.0,V,33.0,V,48.0,V,66.0,V,34.0,V,26.0,V,60.0,V,45.0,V,37.0,V,34.0,V,18.0,V,15.0,V,13.0,V,18.0,V,35.0,V,54.0,V,27.0,V,24.0,V,0.0,N,38.96666666666667
43,331,28,79,16,8,28079016_8_8,2010,8,0.0,N,32.0,V,13.0,V,17.0,V,12.0,V,14.0,V,17.0,V,19.0,V,17.0,V,20.0,V,20.0,V,14.0,V,4.0,V,7.0,V,6.0,V,9.0,V,14.0,V,19.0,V,16.0,V,20.0,V,17.0,V,9.0,V,21.0,V,49.0,V,91.0,V,88.0,V,59.0,V,29.0,V,28.0,V,52.0,V,61.0,V,27.9
44,332,28,79,16,8,28079016_8_8,2010,9,37.0,V,72.0,V,72.0,V,72.0,V,78.0,V,103.0,V,30.0,V,39.0,V,65.0,V,85.0,V,78.0,V,62.0,V,65.0,V,94.0,V,100.0,V,81.0,V,42.0,V,28.0,V,32.0,V,48.0,V,55.0,V,55.0,V,53.0,V,27.0,V,17.0,V,26.0,V,53.0,V,63.0,V,55.0,V,71.0,V,0.0,N,60.06666666666667
45,333,28,79,16,8,28079016_8_8,2010,10,77.0,V,69.0,V,37.0,V,27.0,V,64.0,V,78.0,V,52.0,V,51.0,V,35.0,V,35.0,V,51.0,V,27.0,V,54.0,V,62.0,V,60.0,V,40.0,V,21.0,V,49.0,V,84.0,V,94.0,V,77.0,V,84.0,V,82.0,V,62.0,V,26.0,V,79.0,V,102.0,V,114.0,V,69.0,V,35.0,V,20.0,V,60.064516129032256
46,334,28,79,16,8,28079016_8_8,2010,11,16.0,V,49.0,V,101.0,V,74.0,V,60.0,V,65.0,V,52.0,V,48.0,V,25.0,V,51.0,V,60.0,V,74.0,V,59.0,V,45.0,V,37.0,V,64.0,V,50.0,V,61.0,V,71.0,V,38.0,V,31.0,V,50.0,V,80.0,V,67.0,V,64.0,V,53.0,V,44.0,V,62.0,V,52.0,V,55.0,V,0.0,N,56.8
47,335,28,79,16,8,28079016_8_8,2010,12,45.0,V,51.0,V,59.0,V,61.0,V,58.0,V,49.0,V,50.0,V,47.0,V,53.0,V,52.0,V,51.0,V,62.0,V,87.0,V,55.0,V,26.0,V,67.0,V,114.0,V,78.0,V,42.0,V,68.0,V,73.0,V,60.0,V,46.0,V,49.0,V,45.0,V,64.0,V,86.0,V,86.0,V,76.0,V,69.0,V,56.0,V,62.32258064516129
48,380,28,79,17,8,28079017_8_8,2010,1,18.0,V,30.0,V,34.0,V,37.0,V,38.0,V,26.0,V,24.0,V,20.0,V,22.0,V,25.0,V,37.0,V,40.0,V,38.0,V,27.0,V,44.0,V,35.0,V,31.0,V,41.0,V,35.0,V,32.0,V,51.0,V,53.0,V,36.0,V,29.0,V,18.0,V,22.0,V,25.0,V,44.0,V,37.0,V,21.0,V,21.0,V,33.516129032258064
49,381,28,79,17,8,28079017_8_8,2010,2,32.0,V,55.0,V,58.0,V,44.0,V,25.0,V,25.0,V,42.0,V,35.0,V,27.0,V,31.0,V,28.0,V,33.0,V,18.0,V,22.0,V,38.0,V,40.0,V,29.0,V,34.0,V,37.0,V,25.0,V,29.0,V,29.0,V,30.0,V,23.0,V,27.0,V,33.0,V,29.0,V,17.0,V,0.0,N,0.0,N,0.0,N,33.714285714285715
50,382,28,79,17,8,28079017_8_8,2010,3,24.0,V,25.0,V,30.0,V,32.0,V,26.0,V,21.0,V,25.0,V,18.0,V,33.0,V,32.0,V,37.0,V,33.0,V,41.0,V,19.0,V,56.0,V,47.0,V,33.0,V,46.0,V,40.0,V,28.0,V,26.0,V,36.0,V,39.0,V,24.0,V,24.0,V,20.0,V,23.0,V,32.0,V,29.0,V,19.0,V,19.0,V,31.838709677419356
51,383,28,79,17,8,28079017_8_8,2010,4,14.0,V,20.0,V,17.0,V,18.0,V,21.0,V,32.0,V,18.0,V,25.0,V,17.0,V,18.0,V,26.0,V,21.0,V,20.0,V,26.0,V,25.0,V,31.0,V,21.0,V,21.0,V,30.0,V,39.0,V,37.0,V,24.0,V,31.0,V,33.0,V,32.0,V,41.0,V,48.0,V,29.0,V,24.0,V,34.0,V,0.0,N,28.133333333333333
52,384,28,79,17,8,28079017_8_8,2010,5,16.0,V,18.0,V,12.0,V,12.0,V,18.0,V,25.0,V,28.0,V,17.0,V,16.0,V,20.0,V,26.0,V,18.0,V,20.0,V,20.0,V,16.0,V,16.0,V,25.0,V,29.0,V,21.0,V,17.0,V,34.0,V,24.0,V,17.0,V,18.0,V,19.0,V,20.0,V,27.0,V,21.0,V,24.0,V,26.0,V,27.0,V,22.548387096774192
53,385,28,79,17,8,28079017_8_8,2010,6,26.0,V,23.0,V,19.0,V,33.0,V,32.0,V,18.0,V,18.0,V,18.0,V,18.0,V,19.0,V,22.0,V,29.0,V,26.0,V,41.0,V,0.0,N,0.0,N,42.0,V,49.0,V,26.0,V,14.0,V,25.0,V,46.0,V,54.0,V,45.0,V,39.0,V,35.0,V,30.0,V,37.0,V,33.0,V,47.0,V,0.0,N,32.75
