,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
20,28,79,4,7,28079004_7_8,2021,1,2.0,V,5.0,V,10.0,V,9.0,V,49.0,V,13.0,V,12.0,V,9.0,V,0.0,N,0.0,N,10.0,N,24.0,V,50.0,V,81.0,V,78.0,V,74.0,V,48.0,V,78.0,V,64.0,V,36.0,N,0.0,N,62.0,N,162.0,N,0.0,N,2336.0,N,1523.0,N,1583.0,N,0.0,N,0.0,N,0.0,N,0.0,N,274.69565217391306
21,28,79,4,7,28079004_7_8,2021,2,22.0,N,19.0,V,19.0,N,30.0,N,12.0,V,4.0,V,2.0,V,7.0,V,6.0,V,19.0,V,99.0,N,24.0,V,13.0,V,12.0,V,13.0,V,45.0,V,37.0,V,42.0,V,50.0,N,19.0,V,1.0,V,6.0,N,16.0,V,17.0,V,9.0,V,12.0,V,13.0,V,2.0,V,0.0,N,0.0,N,0.0,N,20.392857142857142
22,28,79,4,7,28079004_7_8,2021,3,14.0,V,11.0,V,37.0,V,28.0,V,30.0,V,4.0,V,3.0,V,10.0,V,8.0,V,24.0,V,27.0,V,16.0,V,14.0,V,5.0,V,8.0,V,6.0,V,7.0,V,8.0,V,2.0,V,2.0,V,3.0,V,29.0,V,32.0,V,19.0,V,26.0,V,22.0,V,4.0,V,2.0,V,4.0,V,9.0,V,14.0,V,13.870967741935484
23,28,79,4,7,28079004_7_8,2021,4,1.0,V,2.0,V,6.0,V,5.0,V,17.0,V,11.0,V,7.0,V,6.0,V,5.0,V,2.0,V,1.0,V,6.0,V,2.0,N,8.0,V,8.0,V,7.0,V,2.0,V,1.0,V,3.0,N,7.0,V,6.0,V,9.0,V,7.0,V,2.0,V,1.0,V,17.0,V,20.0,V,14.0,V,8.0,V,9.0,V,0.0,N,6.766666666666667
24,28,79,4,7,28079004_7_8,2021,5,4.0,V,1.0,V,1.0,V,5.0,V,20.0,V,22.0,V,16.0,V,7.0,V,1.0,V,6.0,V,7.0,V,4.0,V,6.0,V,2.0,V,2.0,V,2.0,V,5.0,V,11.0,V,4.0,V,8.0,V,16.0,V,2.0,V,1.0,V,7.0,V,4.0,V,6.0,V,4.0,V,4.0,V,2.0,V,1.0,V,4.0,V,6.096774193548387
25,28,79,4,7,28079004_7_8,2021,6,4.0,V,9.0,V,5.0,V,8.0,V,2.0,V,3.0,V,6.0,V,5.0,V,4.0,V,4.0,V,4.0,V,2.0,V,1.0,V,3.0,V,3.0,V,2.0,V,5.0,V,2.0,V,2.0,V,1.0,V,4.0,V,8.0,V,6.0,V,6.0,V,4.0,V,3.0,V,1.0,V,7.0,V,5.0,V,5.0,V,0.0,N,4.3
26,28,79,4,7,28079004_7_8,2021,7,12.0,V,13.0,V,6.0,V,1.0,V,2.0,V,7.0,V,12.0,V,6.0,V,5.0,V,7.0,V,2.0,V,9.0,V,6.0,V,5.0,V,4.0,V,4.0,V,2.0,V,1.0,V,9.0,V,5.0,V,3.0,V,6.0,V,8.0,V,2.0,V,1.0,V,8.0,V,5.0,V,3.0,V,3.0,V,2.0,V,2.0,V,5.387096774193548
27,28,79,4,7,28079004_7_8,2021,8,1.0,V,3.0,V,6.0,V,4.0,V,11.0,V,167.0,N,1.0,V,2.0,V,2.0,V,5.0,V,11.0,V,2.0,V,18.0,N,0.0,N,0.0,N,5.0,N,2.0,V,2.0,V,2.0,V,3.0,V,3.0,V,3.0,V,4.0,V,3.0,V,4.0,V,9.0,V,6.0,V,2.0,V,1.0,V,4.0,V,8.0,V,10.379310344827585
28,28,79,4,7,28079004_7_8,2021,9,4.0,V,12.0,V,12.0,V,8.0,V,5.0,V,5.0,V,4.0,V,4.0,V,4.0,V,6.0,V,6.0,V,9.0,V,24.0,V,8.0,V,5.0,N,19.0,V,20.0,V,9.0,V,3.0,V,8.0,V,5.0,V,9.0,V,6.0,V,6.0,V,4.0,V,2.0,V,32.0,V,29.0,V,23.0,V,9.0,V,0.0,N,10.266666666666667
29,28,79,4,7,28079004_7_8,2021,10,44.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,12.0,N,12.0,V,4.0,V,18.0,V,13.0,V,37.0,V,40.0,V,34.0,V,22.0,V,9.0,V,23.0,V,23.0,V,34.0,V,20.0,V,6.0,V,10.0,V,16.0,V,37.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,22.263157894736842
