,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
110,28,79,8,10,28079008_10_47,2021,1,4.0,V,6.0,V,9.0,V,9.0,V,20.0,V,14.0,V,12.0,V,11.0,V,5.0,V,7.0,V,11.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,28.0,N,22.0,V,20.0,V,5.0,N,7.0,V,6.0,V,9.0,V,5.0,V,8.0,V,16.0,V,12.0,V,14.0,V,7.0,V,8.0,V,11.0
111,28,79,8,10,28079008_10_47,2021,2,12.0,V,9.0,V,9.0,V,14.0,V,35.0,V,15.0,V,6.0,V,6.0,V,7.0,V,12.0,V,13.0,V,10.0,V,12.0,V,13.0,V,14.0,V,21.0,V,26.0,V,78.0,V,82.0,V,35.0,V,53.0,V,7.0,V,11.0,V,30.0,V,45.0,V,45.0,V,27.0,V,29.0,V,0.0,N,0.0,N,0.0,N,24.178571428571427
112,28,79,8,10,28079008_10_47,2021,3,34.0,V,42.0,V,82.0,V,78.0,V,59.0,V,38.0,V,22.0,V,20.0,V,14.0,V,18.0,V,19.0,V,13.0,V,14.0,V,11.0,V,12.0,V,13.0,V,9.0,V,10.0,V,7.0,V,5.0,V,9.0,V,20.0,V,19.0,V,24.0,V,28.0,V,38.0,V,27.0,V,26.0,V,26.0,V,29.0,V,28.0,V,25.677419354838708
113,28,79,8,10,28079008_10_47,2021,4,30.0,V,16.0,V,19.0,V,19.0,V,18.0,V,16.0,V,14.0,V,17.0,V,17.0,V,21.0,V,10.0,V,9.0,V,15.0,V,19.0,V,17.0,V,15.0,V,13.0,V,12.0,V,16.0,V,20.0,V,14.0,V,12.0,N,10.0,V,13.0,V,10.0,V,21.0,V,21.0,N,10.0,N,14.0,V,15.0,V,0.0,N,15.866666666666667
114,28,79,8,10,28079008_10_47,2021,5,11.0,V,8.0,V,15.0,V,16.0,V,22.0,N,20.0,V,20.0,V,22.0,V,21.0,V,8.0,V,7.0,V,10.0,V,14.0,V,13.0,V,20.0,N,32.0,N,12.0,V,16.0,V,10.0,V,13.0,N,16.0,N,9.0,V,9.0,V,10.0,V,15.0,V,21.0,V,21.0,V,18.0,V,15.0,V,18.0,V,23.0,V,15.774193548387096
115,28,79,8,10,28079008_10_47,2021,6,24.0,V,21.0,V,22.0,V,17.0,V,20.0,V,17.0,V,16.0,V,20.0,V,17.0,V,20.0,N,25.0,V,16.0,V,15.0,V,22.0,V,29.0,V,29.0,V,19.0,V,17.0,V,6.0,V,9.0,V,11.0,V,12.0,V,9.0,V,12.0,V,17.0,V,22.0,V,14.0,V,9.0,V,12.0,V,17.0,V,0.0,N,17.366666666666667
116,28,79,8,10,28079008_10_47,2021,7,21.0,V,20.0,V,14.0,V,13.0,V,12.0,V,14.0,V,12.0,V,9.0,V,20.0,V,24.0,V,59.0,V,18.0,V,12.0,V,14.0,V,16.0,V,23.0,V,19.0,V,15.0,V,16.0,V,27.0,V,32.0,V,33.0,V,32.0,V,14.0,V,11.0,V,15.0,V,24.0,V,16.0,V,33.0,V,15.0,V,11.0,V,20.0
117,28,79,8,10,28079008_10_47,2021,8,9.0,V,13.0,V,19.0,V,14.0,V,15.0,V,15.0,V,11.0,V,13.0,V,31.0,V,48.0,V,68.0,V,35.0,V,36.0,N,0.0,N,0.0,N,0.0,N,12.0,N,23.0,V,24.0,V,23.0,V,21.0,V,24.0,V,25.0,V,26.0,V,35.0,V,33.0,V,16.0,V,17.0,V,11.0,V,18.0,V,29.0,V,23.964285714285715
118,28,79,8,10,28079008_10_47,2021,9,40.0,V,31.0,V,19.0,V,10.0,V,22.0,V,23.0,V,16.0,V,17.0,V,15.0,V,9.0,V,10.0,V,13.0,V,37.0,V,41.0,V,24.0,V,19.0,V,19.0,V,16.0,N,7.0,N,10.0,V,7.0,V,10.0,V,13.0,V,47.0,V,25.0,V,6.0,V,14.0,V,15.0,V,14.0,V,20.0,V,0.0,N,19.233333333333334
119,28,79,8,10,28079008_10_47,2021,10,20.0,V,23.0,V,12.0,V,9.0,V,11.0,V,14.0,V,19.0,V,22.0,V,16.0,V,16.0,V,15.0,V,18.0,V,9.0,V,23.0,V,28.0,V,25.0,V,20.0,V,25.0,V,24.0,V,22.0,V,16.0,V,9.0,V,14.0,V,20.0,V,28.0,V,18.0,N,32.0,V,27.0,V,25.0,V,34.0,N,39.0,N,20.70967741935484
120,28,79,8,10,28079008_10_47,2021,11,10.0,N,8.0,N,6.0,V,10.0,V,6.0,V,8.0,V,19.0,V,17.0,V,18.0,V,18.0,V,32.0,V,22.0,V,21.0,V,16.0,V,6.0,V,14.0,V,8.0,V,11.0,V,10.0,V,8.0,V,12.0,V,9.0,V,8.0,V,10.0,V,10.0,V,12.0,V,6.0,V,5.0,V,6.0,V,14.0,V,0.0,N,12.333333333333334
121,28,79,8,10,28079008_10_47,2021,12,17.0,V,7.0,V,8.0,V,8.0,V,4.0,V,5.0,V,10.0,V,4.0,V,6.0,V,7.0,V,9.0,V,12.0,V,14.0,V,15.0,V,15.0,V,16.0,V,15.0,V,13.0,V,10.0,V,17.0,V,26.0,V,18.0,V,13.0,V,8.0,V,4.0,V,5.0,V,6.0,V,7.0,V,15.0,V,14.0,V,15.0,V,11.419354838709678
391,28,79,18,10,28079018_10_47,2021,1,4.0,V,6.0,V,7.0,V,6.0,V,12.0,V,12.0,V,7.0,V,6.0,V,5.0,V,5.0,V,10.0,V,15.0,V,23.0,V,30.0,V,28.0,V,32.0,V,25.0,V,22.0,V,14.0,V,14.0,V,3.0,V,4.0,V,6.0,V,8.0,V,5.0,V,6.0,V,10.0,V,5.0,V,8.0,V,5.0,V,7.0,V,11.67741935483871
392,28,79,18,10,28079018_10_47,2021,2,9.0,V,6.0,V,9.0,V,15.0,V,35.0,V,12.0,V,5.0,V,6.0,V,7.0,V,9.0,V,13.0,V,6.0,V,11.0,V,13.0,V,14.0,V,16.0,V,22.0,V,84.0,V,83.0,V,41.0,V,54.0,V,6.0,V,8.0,V,23.0,V,53.0,V,53.0,V,33.0,V,32.0,V,0.0,N,0.0,N,0.0,N,24.678571428571427
393,28,79,18,10,28079018_10_47,2021,3,40.0,V,52.0,V,97.0,V,95.0,V,73.0,V,46.0,V,25.0,V,23.0,V,12.0,V,19.0,V,18.0,V,10.0,V,12.0,V,10.0,V,14.0,V,14.0,V,8.0,V,9.0,V,8.0,V,9.0,V,11.0,V,19.0,V,24.0,V,22.0,V,26.0,V,38.0,V,34.0,V,30.0,V,27.0,V,34.0,V,30.0,V,29.129032258064516
394,28,79,18,10,28079018_10_47,2021,4,30.0,V,13.0,V,27.0,V,25.0,V,20.0,V,21.0,V,15.0,V,19.0,V,20.0,V,23.0,V,7.0,V,7.0,V,19.0,V,16.0,V,20.0,V,17.0,V,14.0,V,13.0,V,21.0,V,15.0,V,16.0,V,10.0,V,12.0,V,12.0,V,15.0,V,17.0,V,17.0,V,12.0,V,9.0,V,15.0,V,0.0,N,17.066666666666666
395,28,79,18,10,28079018_10_47,2021,5,9.0,V,11.0,V,12.0,V,13.0,V,18.0,V,20.0,V,19.0,V,20.0,V,22.0,V,9.0,V,9.0,V,13.0,V,10.0,V,13.0,V,15.0,V,13.0,V,12.0,V,17.0,V,15.0,V,18.0,V,29.0,V,12.0,V,13.0,V,9.0,V,21.0,V,23.0,V,25.0,V,20.0,V,16.0,V,20.0,V,27.0,V,16.741935483870968
396,28,79,18,10,28079018_10_47,2021,6,22.0,V,24.0,V,25.0,V,20.0,V,17.0,V,20.0,V,18.0,V,20.0,V,22.0,V,26.0,V,29.0,V,16.0,V,17.0,V,24.0,V,34.0,V,32.0,V,16.0,V,16.0,V,9.0,V,9.0,V,10.0,V,10.0,V,7.0,V,11.0,V,17.0,V,26.0,V,14.0,V,10.0,V,15.0,V,22.0,V,0.0,N,19.166666666666668
397,28,79,18,10,28079018_10_47,2021,7,11.0,V,20.0,V,13.0,V,14.0,V,17.0,V,12.0,V,12.0,V,11.0,V,25.0,V,28.0,V,83.0,V,25.0,V,16.0,V,17.0,V,21.0,V,26.0,V,22.0,V,24.0,V,23.0,V,32.0,V,34.0,V,40.0,V,27.0,V,12.0,V,13.0,V,18.0,V,21.0,V,27.0,V,32.0,V,20.0,V,14.0,V,23.483870967741936
398,28,79,18,10,28079018_10_47,2021,8,12.0,V,16.0,V,20.0,V,11.0,V,15.0,V,21.0,V,11.0,V,16.0,V,30.0,V,39.0,V,83.0,V,55.0,V,53.0,V,64.0,V,47.0,V,24.0,V,17.0,V,24.0,V,35.0,V,30.0,V,33.0,V,29.0,V,35.0,V,37.0,V,39.0,V,44.0,V,36.0,V,25.0,V,24.0,V,16.0,V,20.0,V,31.612903225806452
399,28,79,18,10,28079018_10_47,2021,9,16.0,V,18.0,V,19.0,V,16.0,V,20.0,V,23.0,V,21.0,V,12.0,V,13.0,V,11.0,V,10.0,V,21.0,V,27.0,V,22.0,V,21.0,V,22.0,V,21.0,V,12.0,V,11.0,V,16.0,V,9.0,V,8.0,V,14.0,V,35.0,V,21.0,V,10.0,V,19.0,V,15.0,V,15.0,V,18.0,V,0.0,N,17.866666666666667
400,28,79,18,10,28079018_10_47,2021,10,20.0,V,15.0,V,8.0,V,9.0,V,11.0,V,12.0,V,18.0,V,14.0,V,19.0,V,19.0,V,17.0,V,16.0,V,18.0,V,17.0,V,22.0,V,24.0,V,22.0,V,25.0,V,25.0,V,21.0,V,11.0,V,9.0,V,11.0,V,15.0,V,22.0,V,21.0,V,20.0,V,22.0,V,18.0,V,27.0,N,32.0,V,18.741935483870968
401,28,79,18,10,28079018_10_47,2021,11,7.0,V,8.0,V,7.0,V,10.0,V,7.0,V,5.0,V,14.0,V,12.0,V,12.0,V,11.0,V,25.0,V,18.0,V,18.0,V,12.0,V,6.0,V,12.0,V,9.0,V,12.0,V,13.0,V,17.0,V,18.0,V,18.0,V,9.0,V,9.0,V,8.0,V,9.0,N,2.0,V,3.0,V,6.0,V,19.0,V,0.0,N,11.933333333333334
402,28,79,18,10,28079018_10_47,2021,12,14.0,V,3.0,V,5.0,V,12.0,V,2.0,V,5.0,V,20.0,V,4.0,V,7.0,V,12.0,V,16.0,V,14.0,V,22.0,V,18.0,V,24.0,V,19.0,V,19.0,V,16.0,V,16.0,V,23.0,V,31.0,V,24.0,V,18.0,V,11.0,V,6.0,V,6.0,V,6.0,V,9.0,V,20.0,V,21.0,V,22.0,V,15.096774193548388
501,28,79,24,10,28079024_10_47,2021,1,3.0,V,4.0,V,8.0,V,6.0,V,16.0,V,14.0,V,8.0,V,7.0,V,3.0,N,6.0,N,15.0,V,28.0,V,40.0,V,55.0,V,44.0,V,59.0,V,51.0,V,34.0,V,28.0,V,27.0,V,4.0,V,4.0,V,5.0,V,6.0,V,4.0,V,5.0,V,7.0,V,8.0,V,9.0,V,6.0,V,6.0,V,17.548387096774192
502,28,79,24,10,28079024_10_47,2021,2,8.0,V,4.0,V,8.0,V,13.0,V,38.0,V,12.0,V,4.0,V,4.0,V,8.0,N,0.0,N,6.0,N,5.0,V,9.0,V,14.0,V,16.0,V,20.0,V,24.0,V,86.0,V,89.0,V,45.0,V,61.0,V,5.0,V,11.0,V,33.0,V,50.0,V,50.0,V,31.0,V,30.0,V,0.0,N,0.0,N,0.0,N,26.25925925925926
503,28,79,24,10,28079024_10_47,2021,3,35.0,V,49.0,V,87.0,V,89.0,V,68.0,V,43.0,V,26.0,V,20.0,V,15.0,V,18.0,V,16.0,V,9.0,V,12.0,V,9.0,V,10.0,V,12.0,V,8.0,V,9.0,V,6.0,V,6.0,V,12.0,V,19.0,V,18.0,V,25.0,V,22.0,V,34.0,V,36.0,V,29.0,V,25.0,V,32.0,V,31.0,V,27.612903225806452
504,28,79,24,10,28079024_10_47,2021,4,33.0,V,10.0,V,21.0,V,25.0,V,20.0,V,15.0,V,14.0,V,18.0,V,18.0,V,21.0,V,6.0,V,8.0,V,14.0,V,16.0,V,18.0,V,15.0,V,12.0,V,14.0,V,17.0,V,15.0,V,10.0,V,8.0,V,10.0,V,12.0,V,11.0,V,14.0,V,15.0,V,9.0,V,10.0,V,11.0,V,0.0,N,15.566666666666666
505,28,79,24,10,28079024_10_47,2021,5,10.0,V,11.0,V,12.0,V,11.0,V,15.0,V,17.0,V,15.0,V,22.0,V,18.0,V,10.0,V,7.0,V,11.0,V,10.0,V,10.0,V,11.0,V,10.0,V,11.0,V,18.0,V,13.0,V,18.0,V,27.0,V,14.0,V,14.0,V,10.0,V,18.0,V,21.0,V,22.0,V,24.0,V,19.0,V,21.0,V,29.0,V,16.35483870967742
