,index,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
13,85,28,79,8,7,28079008_7_8,2010,2,36.0,V,54.0,V,67.0,V,58.0,V,40.0,V,31.0,V,52.0,V,54.0,V,30.0,V,42.0,V,25.0,V,37.0,V,19.0,V,18.0,V,48.0,V,69.0,V,38.0,V,44.0,V,52.0,V,23.0,V,28.0,V,34.0,V,39.0,V,34.0,V,37.0,V,42.0,V,33.0,V,15.0,V,0.0,N,0.0,N,0.0,N,39.714285714285715
14,86,28,79,8,7,28079008_7_8,2010,3,30.0,V,30.0,V,41.0,V,61.0,V,31.0,V,20.0,V,18.0,V,20.0,V,31.0,V,31.0,V,28.0,V,35.0,V,20.0,V,16.0,V,51.0,V,38.0,V,29.0,V,60.0,V,34.0,V,25.0,V,21.0,V,46.0,V,36.0,V,27.0,V,25.0,V,30.0,V,18.0,V,19.0,V,27.0,V,28.0,V,23.0,V,31.06451612903226
15,87,28,79,8,7,28079008_7_8,2010,4,9.0,V,12.0,V,13.0,V,14.0,V,17.0,V,32.0,V,18.0,V,20.0,V,18.0,V,12.0,V,14.0,V,16.0,V,24.0,V,28.0,V,26.0,V,24.0,V,14.0,V,13.0,V,22.0,V,31.0,V,32.0,V,24.0,V,28.0,V,24.0,V,19.0,V,24.0,V,23.0,V,16.0,V,21.0,V,25.0,V,0.0,N,20.933333333333334
16,88,28,79,8,7,28079008_7_8,2010,5,8.0,V,9.0,V,11.0,V,11.0,V,17.0,V,21.0,V,24.0,V,18.0,V,15.0,V,24.0,V,30.0,V,28.0,V,25.0,V,21.0,V,10.0,V,9.0,V,18.0,V,19.0,V,20.0,V,25.0,V,25.0,V,13.0,V,11.0,V,15.0,V,22.0,V,23.0,V,22.0,V,16.0,V,14.0,V,20.0,V,22.0,V,18.774193548387096
17,89,28,79,8,7,28079008_7_8,2010,6,22.0,V,23.0,V,10.0,V,18.0,V,16.0,V,13.0,V,22.0,V,28.0,V,23.0,V,32.0,V,34.0,V,18.0,V,12.0,V,25.0,V,15.0,V,25.0,V,20.0,V,36.0,V,8.0,V,21.0,V,20.0,V,25.0,V,33.0,V,23.0,V,24.0,V,8.0,V,8.0,V,16.0,V,15.0,V,23.0,V,0.0,N,21.1
18,90,28,79,8,7,28079008_7_8,2010,7,29.0,V,25.0,V,9.0,V,13.0,V,24.0,V,18.0,V,27.0,V,38.0,V,17.0,V,17.0,V,15.0,V,25.0,V,28.0,V,22.0,V,21.0,V,40.0,V,14.0,V,11.0,V,19.0,V,19.0,V,22.0,V,24.0,V,12.0,V,7.0,V,6.0,V,15.0,V,22.0,V,32.0,V,15.0,V,16.0,V,16.0,V,20.516129032258064
19,91,28,79,8,7,28079008_7_8,2010,8,8.0,V,13.0,V,8.0,V,11.0,V,10.0,V,20.0,V,11.0,V,11.0,V,15.0,V,19.0,V,14.0,V,18.0,V,8.0,V,6.0,V,6.0,V,7.0,V,10.0,V,16.0,V,11.0,V,20.0,V,25.0,V,8.0,V,21.0,V,15.0,V,47.0,V,34.0,V,19.0,V,6.0,V,6.0,V,12.0,V,24.0,V,15.419354838709678
20,92,28,79,8,7,28079008_7_8,2010,9,12.0,V,16.0,V,14.0,V,16.0,V,19.0,V,41.0,V,25.0,V,18.0,V,22.0,V,47.0,V,66.0,V,59.0,V,22.0,V,29.0,V,0.0,N,24.0,V,19.0,V,8.0,V,22.0,V,17.0,V,21.0,V,25.0,V,31.0,V,13.0,V,6.0,V,7.0,V,14.0,V,39.0,V,33.0,V,87.0,V,0.0,N,27.310344827586206
21,93,28,79,8,7,28079008_7_8,2010,10,74.0,V,72.0,V,15.0,V,43.0,V,88.0,V,119.0,V,45.0,V,39.0,V,22.0,V,19.0,V,45.0,V,13.0,V,51.0,V,53.0,V,39.0,V,17.0,V,11.0,V,43.0,V,85.0,V,155.0,V,106.0,V,78.0,V,63.0,V,58.0,V,19.0,V,107.0,V,127.0,V,157.0,V,84.0,V,19.0,V,17.0,V,61.41935483870968
22,94,28,79,8,7,28079008_7_8,2010,11,14.0,V,58.0,V,165.0,V,143.0,V,70.0,V,33.0,V,13.0,V,29.0,V,0.0,N,41.0,V,52.0,V,103.0,V,74.0,V,26.0,V,36.0,V,69.0,V,43.0,V,54.0,V,68.0,V,24.0,V,26.0,V,46.0,V,69.0,V,66.0,V,62.0,V,38.0,V,27.0,V,49.0,V,56.0,V,50.0,V,0.0,N,56.06896551724138
23,95,28,79,8,7,28079008_7_8,2010,12,45.0,V,47.0,V,49.0,V,35.0,V,42.0,V,27.0,V,23.0,V,14.0,V,68.0,V,58.0,V,91.0,V,146.0,V,249.0,V,53.0,V,26.0,V,45.0,V,148.0,V,74.0,V,29.0,V,46.0,V,64.0,V,32.0,V,34.0,V,29.0,V,29.0,V,56.0,V,121.0,V,119.0,V,94.0,V,76.0,V,38.0,V,65.48387096774194
24,228,28,79,11,7,28079011_7_8,2010,1,9.0,V,29.0,V,46.0,V,37.0,V,32.0,V,15.0,V,16.0,V,37.0,V,29.0,V,21.0,V,39.0,V,62.0,V,69.0,V,28.0,V,53.0,V,47.0,V,45.0,V,49.0,V,36.0,V,33.0,V,68.0,V,110.0,V,23.0,V,13.0,V,11.0,V,9.0,V,14.0,V,90.0,V,96.0,V,22.0,V,15.0,V,39.58064516129032
25,229,28,79,11,7,28079011_7_8,2010,2,20.0,V,53.0,V,50.0,V,54.0,V,15.0,V,23.0,V,59.0,V,36.0,V,35.0,V,34.0,V,36.0,V,28.0,V,7.0,V,13.0,V,16.0,V,30.0,V,15.0,V,33.0,V,40.0,V,17.0,V,29.0,V,24.0,V,22.0,V,11.0,V,26.0,V,28.0,V,34.0,V,12.0,V,0.0,N,0.0,N,0.0,N,29.464285714285715
26,230,28,79,11,7,28079011_7_8,2010,3,13.0,V,16.0,V,18.0,V,30.0,V,9.0,V,6.0,V,15.0,V,23.0,V,25.0,V,28.0,V,18.0,V,40.0,V,15.0,V,6.0,V,32.0,V,26.0,V,22.0,V,46.0,V,25.0,V,27.0,V,13.0,V,30.0,V,31.0,V,22.0,V,21.0,V,9.0,V,11.0,V,14.0,V,12.0,V,11.0,V,16.0,V,21.161290322580644
27,231,28,79,11,7,28079011_7_8,2010,4,11.0,V,8.0,V,9.0,V,11.0,V,11.0,V,25.0,V,15.0,V,12.0,V,9.0,V,8.0,V,7.0,V,7.0,V,7.0,V,10.0,V,16.0,V,27.0,V,20.0,V,17.0,V,38.0,V,31.0,V,32.0,V,25.0,V,41.0,V,24.0,V,20.0,V,20.0,V,17.0,V,19.0,V,21.0,V,19.0,V,0.0,N,18.8
28,232,28,79,11,7,28079011_7_8,2010,5,8.0,V,14.0,V,19.0,V,21.0,V,22.0,V,25.0,V,25.0,V,13.0,V,9.0,V,18.0,V,37.0,V,18.0,V,23.0,V,20.0,V,13.0,V,7.0,V,16.0,V,16.0,V,12.0,V,16.0,V,40.0,V,23.0,V,12.0,V,17.0,V,18.0,V,20.0,V,19.0,V,12.0,V,12.0,V,14.0,V,17.0,V,18.838709677419356
29,233,28,79,11,7,28079011_7_8,2010,6,26.0,V,17.0,V,9.0,V,13.0,V,18.0,V,7.0,V,18.0,V,16.0,V,46.0,V,16.0,V,13.0,V,16.0,V,6.0,V,17.0,V,20.0,V,28.0,V,23.0,V,37.0,V,11.0,V,8.0,V,19.0,V,23.0,V,26.0,V,32.0,V,30.0,V,9.0,V,11.0,V,12.0,V,15.0,V,28.0,V,0.0,N,19.966666666666665
30,234,28,79,11,7,28079011_7_8,2010,7,19.0,V,23.0,V,10.0,V,8.0,V,13.0,V,18.0,V,12.0,V,29.0,V,22.0,V,12.0,V,12.0,V,18.0,V,30.0,V,18.0,V,20.0,V,27.0,V,22.0,V,12.0,V,22.0,V,21.0,V,22.0,V,19.0,V,8.0,V,7.0,V,7.0,V,9.0,V,36.0,V,35.0,V,14.0,V,28.0,V,10.0,V,19.129032258064516
31,235,28,79,11,7,28079011_7_8,2010,8,8.0,V,20.0,V,7.0,V,12.0,V,7.0,V,19.0,V,21.0,V,18.0,V,17.0,V,18.0,V,20.0,V,13.0,V,6.0,V,6.0,V,6.0,V,9.0,V,11.0,V,15.0,V,11.0,V,24.0,V,15.0,V,7.0,V,10.0,V,17.0,V,48.0,V,25.0,V,16.0,V,5.0,V,8.0,V,10.0,V,40.0,V,16.129032258064516
32,236,28,79,11,7,28079011_7_8,2010,9,11.0,V,17.0,V,14.0,V,29.0,V,33.0,V,45.0,V,13.0,V,26.0,V,25.0,V,76.0,V,83.0,V,55.0,V,16.0,V,33.0,V,56.0,V,30.0,V,24.0,V,9.0,V,36.0,V,31.0,V,41.0,V,55.0,V,43.0,V,34.0,V,8.0,V,9.0,V,26.0,V,42.0,V,20.0,V,38.0,V,0.0,N,33.666666666666664
33,237,28,79,11,7,28079011_7_8,2010,10,35.0,V,46.0,V,20.0,V,31.0,V,85.0,V,104.0,V,25.0,V,53.0,V,25.0,V,13.0,V,32.0,V,8.0,V,40.0,V,36.0,V,29.0,V,11.0,V,9.0,V,35.0,V,74.0,V,159.0,V,140.0,V,80.0,V,47.0,V,38.0,V,23.0,V,103.0,V,110.0,V,145.0,V,79.0,V,24.0,V,21.0,V,55.25806451612903
34,238,28,79,11,7,28079011_7_8,2010,11,19.0,V,57.0,V,196.0,V,189.0,V,109.0,V,48.0,V,36.0,V,22.0,V,19.0,V,49.0,V,39.0,V,125.0,V,64.0,V,44.0,V,45.0,V,61.0,V,35.0,V,60.0,V,68.0,V,29.0,V,24.0,V,54.0,V,80.0,V,56.0,V,55.0,V,24.0,V,22.0,V,48.0,V,32.0,V,53.0,V,0.0,N,59.86666666666667
35,239,28,79,11,7,28079011_7_8,2010,12,28.0,V,50.0,V,62.0,V,38.0,V,29.0,V,34.0,V,59.0,V,33.0,V,55.0,V,66.0,V,83.0,V,121.0,V,255.0,V,38.0,V,20.0,V,41.0,V,146.0,V,72.0,V,27.0,V,49.0,V,78.0,V,68.0,V,53.0,V,49.0,V,22.0,V,60.0,V,110.0,V,110.0,V,81.0,V,69.0,V,45.0,V,67.29032258064517
36,312,28,79,16,7,28079016_7_8,2010,1,7.0,V,21.0,V,32.0,V,27.0,V,16.0,V,12.0,V,7.0,V,8.0,V,10.0,V,16.0,V,35.0,V,51.0,V,50.0,V,9.0,V,57.0,V,33.0,V,41.0,V,44.0,V,40.0,V,17.0,V,103.0,V,118.0,V,35.0,V,11.0,V,9.0,V,8.0,V,8.0,V,73.0,V,99.0,V,8.0,V,6.0,V,33.774193548387096
37,313,28,79,16,7,28079016_7_8,2010,2,11.0,V,40.0,V,47.0,V,47.0,V,13.0,V,17.0,V,46.0,V,34.0,V,13.0,V,22.0,V,9.0,V,15.0,V,6.0,V,11.0,V,16.0,V,21.0,V,13.0,V,16.0,V,24.0,V,11.0,V,16.0,V,14.0,V,21.0,V,10.0,V,14.0,V,31.0,V,20.0,V,6.0,V,0.0,N,0.0,N,0.0,N,21.464285714285715
38,314,28,79,16,7,28079016_7_8,2010,3,13.0,V,11.0,V,20.0,V,46.0,V,7.0,V,6.0,V,8.0,V,6.0,V,10.0,V,10.0,V,10.0,V,13.0,V,9.0,V,5.0,V,36.0,V,17.0,V,17.0,V,39.0,V,15.0,V,16.0,V,8.0,V,21.0,V,20.0,V,13.0,V,11.0,V,10.0,V,6.0,V,9.0,V,16.0,V,9.0,V,8.0,V,15.580645161290322
39,315,28,79,16,7,28079016_7_8,2010,4,4.0,V,10.0,V,6.0,V,5.0,V,7.0,V,23.0,V,6.0,V,6.0,V,6.0,V,4.0,V,4.0,V,5.0,V,5.0,V,8.0,V,7.0,V,10.0,V,6.0,V,6.0,V,22.0,V,14.0,V,14.0,V,14.0,V,20.0,V,16.0,V,9.0,V,12.0,V,9.0,V,9.0,V,8.0,V,10.0,V,0.0,N,10.8
40,316,28,79,16,7,28079016_7_8,2010,5,4.0,V,4.0,V,5.0,V,5.0,V,7.0,V,11.0,V,10.0,V,6.0,V,5.0,V,12.0,V,18.0,V,6.0,V,9.0,V,7.0,V,4.0,V,4.0,V,8.0,V,7.0,V,8.0,V,6.0,V,8.0,V,7.0,V,6.0,V,7.0,V,6.0,V,9.0,V,7.0,V,6.0,V,6.0,V,5.0,V,10.0,V,8.483870967741936
41,317,28,79,16,7,28079016_7_8,2010,6,11.0,V,9.0,V,4.0,V,5.0,V,8.0,V,4.0,V,7.0,V,8.0,V,12.0,V,9.0,V,8.0,V,10.0,V,4.0,V,8.0,V,7.0,V,15.0,V,10.0,V,11.0,V,4.0,V,3.0,V,7.0,V,10.0,V,12.0,V,8.0,V,14.0,V,6.0,V,4.0,V,5.0,V,6.0,V,8.0,V,0.0,N,9.266666666666667
42,318,28,79,16,7,28079016_7_8,2010,7,8.0,V,12.0,V,5.0,V,4.0,V,8.0,V,6.0,V,8.0,V,12.0,V,7.0,V,5.0,V,6.0,V,7.0,V,16.0,V,8.0,V,8.0,V,18.0,V,4.0,V,4.0,V,11.0,V,9.0,V,10.0,V,8.0,V,4.0,V,3.0,V,3.0,V,4.0,V,11.0,V,12.0,V,6.0,V,5.0,V,0.0,N,9.133333333333333
43,319,28,79,16,7,28079016_7_8,2010,8,0.0,N,6.0,V,3.0,V,4.0,V,3.0,V,3.0,V,3.0,V,3.0,V,6.0,V,5.0,V,6.0,V,4.0,V,3.0,V,3.0,V,3.0,V,3.0,V,4.0,V,5.0,V,4.0,V,7.0,V,4.0,V,3.0,V,7.0,V,16.0,V,17.0,V,19.0,V,14.0,V,6.0,V,5.0,V,10.0,V,12.0,V,7.8
44,320,28,79,16,7,28079016_7_8,2010,9,10.0,V,21.0,V,14.0,V,8.0,V,11.0,V,35.0,V,9.0,V,12.0,V,14.0,V,46.0,V,47.0,V,22.0,V,16.0,V,37.0,V,58.0,V,21.0,V,17.0,V,7.0,V,10.0,V,17.0,V,28.0,V,20.0,V,26.0,V,9.0,V,4.0,V,4.0,V,16.0,V,26.0,V,17.0,V,32.0,V,0.0,N,21.933333333333334
