,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
108,28,79,8,9,28079008_9_47,2015,1,33.0,V,22.0,V,18.0,V,18.0,V,18.0,V,22.0,V,19.0,V,13.0,V,18.0,V,13.0,V,12.0,V,1.0,N,17.0,N,22.0,V,15.0,V,11.0,V,10.0,V,11.0,V,4.0,V,5.0,V,5.0,V,5.0,V,6.0,V,6.0,V,4.0,V,1.0,N,1.0,N,1.0,N,1.0,N,1.0,N,1.0,N,10.774193548387096
109,28,79,8,9,28079008_9_47,2015,2,1.0,N,1.0,N,1.0,N,1.0,N,1.0,N,1.0,N,1.0,N,1.0,N,1.0,N,14.0,V,14.0,V,17.0,V,20.0,V,11.0,V,6.0,V,7.0,V,5.0,V,7.0,V,15.0,V,24.0,V,9.0,V,9.0,V,9.0,V,6.0,V,7.0,V,8.0,V,8.0,V,11.0,V,0.0,N,0.0,N,0.0,N,7.75
110,28,79,8,9,28079008_9_47,2015,3,7.0,V,14.0,V,24.0,V,14.0,V,7.0,V,12.0,V,20.0,V,14.0,V,12.0,V,14.0,V,23.0,V,26.0,V,17.0,V,5.0,V,12.0,V,17.0,V,19.0,V,11.0,V,8.0,V,12.0,V,9.0,V,6.0,V,10.0,V,6.0,V,4.0,V,7.0,V,8.0,V,15.0,V,8.0,V,10.0,V,13.0,V,12.451612903225806
111,28,79,8,9,28079008_9_47,2015,4,8.0,V,7.0,V,4.0,V,5.0,V,4.0,V,8.0,V,8.0,V,8.0,V,9.0,V,16.0,V,12.0,V,13.0,V,16.0,V,16.0,V,14.0,V,12.0,V,14.0,V,14.0,V,5.0,V,8.0,V,8.0,V,11.0,V,14.0,V,14.0,V,7.0,V,6.0,V,7.0,V,7.0,V,10.0,V,12.0,V,0.0,N,10.0
112,28,79,8,9,28079008_9_47,2015,5,9.0,V,9.0,V,11.0,V,13.0,V,7.0,V,9.0,V,13.0,V,10.0,V,13.0,V,16.0,V,18.0,V,15.0,V,27.0,V,20.0,V,5.0,V,5.0,V,7.0,V,12.0,V,7.0,V,6.0,V,5.0,V,7.0,V,8.0,V,6.0,V,7.0,V,7.0,V,7.0,V,14.0,V,13.0,V,13.0,V,12.0,V,10.806451612903226
113,28,79,8,9,28079008_9_47,2015,6,14.0,V,14.0,V,15.0,V,9.0,V,12.0,V,14.0,V,11.0,V,13.0,V,14.0,V,19.0,V,16.0,V,11.0,V,10.0,V,7.0,V,4.0,V,8.0,V,8.0,V,12.0,V,12.0,V,8.0,V,13.0,V,19.0,V,15.0,V,11.0,V,14.0,V,20.0,V,21.0,V,19.0,V,22.0,V,20.0,V,0.0,N,13.666666666666666
114,28,79,8,9,28079008_9_47,2015,7,17.0,V,12.0,V,18.0,V,14.0,V,18.0,V,23.0,V,22.0,V,15.0,V,13.0,V,16.0,V,15.0,V,14.0,V,16.0,V,16.0,V,15.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,11.0,N,9.0,N,11.0,N,15.0,V,9.0,V,11.0,V,9.0,V,12.0,V,11.0,V,10.0,V,8.0,V,14.076923076923077
115,28,79,8,9,28079008_9_47,2015,8,7.0,V,13.0,V,17.0,V,13.0,V,13.0,V,14.0,V,22.0,V,29.0,V,11.0,V,12.0,V,19.0,V,13.0,V,6.0,V,6.0,V,5.0,V,6.0,V,8.0,V,9.0,V,10.0,V,11.0,V,13.0,V,11.0,V,11.0,V,5.0,V,8.0,V,15.0,V,10.0,V,10.0,V,14.0,N,14.0,V,15.0,V,12.161290322580646
116,28,79,8,9,28079008_9_47,2015,9,13.0,V,14.0,V,11.0,V,9.0,V,9.0,V,10.0,V,9.0,V,12.0,V,14.0,V,12.0,V,13.0,V,13.0,V,7.0,V,6.0,V,8.0,V,8.0,V,6.0,V,9.0,V,12.0,V,13.0,V,13.0,V,13.0,V,8.0,V,9.0,V,10.0,V,13.0,V,10.0,V,10.0,V,10.0,V,10.0,V,0.0,N,10.733333333333333
117,28,79,8,9,28079008_9_47,2015,10,14.0,V,11.0,V,14.0,V,14.0,V,13.0,V,7.0,V,9.0,V,12.0,V,14.0,V,19.0,V,10.0,V,4.0,V,12.0,V,16.0,V,15.0,V,18.0,V,16.0,V,12.0,V,11.0,V,8.0,V,10.0,V,16.0,V,17.0,V,19.0,V,13.0,V,11.0,V,9.0,V,7.0,V,12.0,V,18.0,V,14.0,V,13.03225806451613
118,28,79,8,9,28079008_9_47,2015,11,10.0,V,7.0,V,7.0,V,15.0,N,11.0,N,28.0,V,20.0,V,14.0,V,14.0,V,26.0,V,24.0,V,21.0,V,20.0,V,17.0,V,18.0,V,29.0,V,35.0,V,25.0,V,24.0,V,28.0,V,8.0,V,4.0,V,4.0,V,17.0,V,8.0,V,13.0,V,12.0,V,16.0,V,16.0,V,22.0,V,0.0,N,17.433333333333334
119,28,79,8,9,28079008_9_47,2015,12,19.0,V,40.0,V,29.0,V,29.0,V,27.0,V,19.0,V,20.0,V,30.0,V,15.0,V,19.0,V,14.0,V,13.0,V,22.0,V,20.0,V,28.0,V,26.0,V,33.0,V,36.0,V,32.0,V,24.0,V,31.0,V,24.0,V,27.0,V,32.0,V,40.0,V,24.0,V,13.0,V,14.0,V,13.0,V,10.0,V,11.0,V,24.032258064516128
588,28,79,24,9,28079024_9_47,2015,1,23.0,V,18.0,V,17.0,V,16.0,V,15.0,V,23.0,V,20.0,V,18.0,V,14.0,V,14.0,V,15.0,V,10.0,V,15.0,V,21.0,V,11.0,V,4.0,V,5.0,V,9.0,V,5.0,V,9.0,V,6.0,V,5.0,V,9.0,V,9.0,V,5.0,V,14.0,V,11.0,V,10.0,V,7.0,V,3.0,V,3.0,V,12.129032258064516
589,28,79,24,9,28079024_9_47,2015,2,4.0,V,5.0,V,3.0,V,4.0,V,5.0,V,5.0,V,9.0,V,9.0,V,9.0,V,9.0,V,11.0,V,15.0,V,15.0,V,6.0,V,2.0,V,3.0,V,2.0,V,4.0,V,11.0,V,17.0,V,7.0,V,4.0,V,3.0,V,2.0,N,3.0,N,4.0,V,4.0,V,6.0,V,0.0,N,0.0,N,0.0,N,6.928571428571429
590,28,79,24,9,28079024_9_47,2015,3,3.0,V,7.0,V,14.0,V,7.0,V,3.0,V,4.0,V,12.0,V,8.0,V,8.0,V,10.0,V,15.0,V,16.0,V,12.0,V,3.0,V,8.0,V,14.0,V,17.0,V,7.0,V,8.0,V,11.0,V,7.0,V,5.0,V,3.0,V,2.0,V,2.0,V,4.0,V,5.0,V,9.0,V,5.0,N,5.0,V,8.0,V,8.258064516129032
591,28,79,24,9,28079024_9_47,2015,4,5.0,V,4.0,V,4.0,V,4.0,V,4.0,V,7.0,V,7.0,V,6.0,V,7.0,V,15.0,V,11.0,V,14.0,V,15.0,V,16.0,V,12.0,V,6.0,V,9.0,V,8.0,V,3.0,V,6.0,V,6.0,V,8.0,V,11.0,V,10.0,V,4.0,V,2.0,V,2.0,V,4.0,V,5.0,V,6.0,V,0.0,N,7.866666666666666
592,28,79,24,9,28079024_9_47,2015,5,5.0,V,7.0,V,7.0,V,11.0,V,3.0,V,5.0,V,8.0,V,7.0,V,8.0,V,12.0,V,12.0,V,14.0,V,21.0,V,14.0,V,4.0,V,3.0,V,5.0,V,8.0,V,5.0,V,4.0,V,3.0,V,4.0,V,5.0,V,5.0,V,7.0,V,6.0,V,6.0,V,11.0,V,9.0,V,10.0,V,8.0,V,8.161290322580646
593,28,79,24,9,28079024_9_47,2015,6,10.0,V,11.0,V,12.0,V,8.0,V,10.0,V,13.0,V,10.0,V,9.0,V,11.0,V,13.0,V,9.0,V,8.0,V,7.0,V,4.0,V,4.0,V,5.0,V,6.0,V,9.0,V,8.0,V,6.0,V,11.0,V,15.0,V,11.0,V,8.0,V,11.0,V,15.0,V,16.0,V,16.0,V,17.0,V,19.0,V,0.0,N,10.966666666666667
594,28,79,24,9,28079024_9_47,2015,7,13.0,V,7.0,V,15.0,V,13.0,V,16.0,V,19.0,V,18.0,V,13.0,V,12.0,V,13.0,V,11.0,V,13.0,V,14.0,V,15.0,V,17.0,V,24.0,V,17.0,V,9.0,V,7.0,V,9.0,V,10.0,V,9.0,V,10.0,V,10.0,V,7.0,V,11.0,V,8.0,V,10.0,V,7.0,V,7.0,V,3.0,V,12.419354838709678
595,28,79,24,9,28079024_9_47,2015,8,6.0,V,11.0,V,15.0,V,13.0,V,13.0,V,9.0,V,18.0,V,31.0,V,7.0,V,11.0,V,20.0,V,8.0,V,2.0,V,3.0,V,4.0,V,5.0,V,7.0,V,7.0,V,7.0,V,9.0,V,11.0,V,8.0,V,7.0,V,2.0,V,4.0,V,8.0,V,5.0,V,7.0,V,10.0,V,11.0,V,10.0,V,9.935483870967742
596,28,79,24,9,28079024_9_47,2015,9,7.0,V,9.0,V,7.0,V,4.0,V,5.0,V,5.0,V,6.0,V,7.0,V,9.0,V,6.0,V,6.0,V,8.0,V,4.0,V,4.0,V,3.0,V,3.0,V,2.0,V,3.0,V,7.0,V,8.0,V,8.0,V,6.0,V,4.0,V,4.0,V,8.0,V,8.0,V,6.0,V,6.0,V,8.0,V,5.0,V,0.0,N,6.533333333333333
597,28,79,24,9,28079024_9_47,2015,10,8.0,V,6.0,V,8.0,V,10.0,V,8.0,V,3.0,V,6.0,V,7.0,V,9.0,V,11.0,V,7.0,V,5.0,V,6.0,V,9.0,V,8.0,N,12.0,V,14.0,V,10.0,V,8.0,V,4.0,V,7.0,V,12.0,V,10.0,V,12.0,V,10.0,V,9.0,V,5.0,V,2.0,V,4.0,V,10.0,V,12.0,V,8.806451612903226
