,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
120,28,79,8,10,28079008_10_47,2012,1,37.0,V,13.0,V,31.0,V,37.0,V,49.0,V,26.0,V,19.0,V,24.0,V,36.0,V,27.0,V,23.0,V,35.0,V,40.0,V,48.0,V,37.0,V,10.0,V,17.0,V,27.0,V,40.0,V,27.0,V,16.0,V,23.0,V,16.0,V,24.0,V,33.0,V,45.0,V,20.0,V,8.0,V,9.0,V,27.0,V,31.0,V,27.580645161290324
121,28,79,8,10,28079008_10_47,2012,2,32.0,V,14.0,V,14.0,V,10.0,V,12.0,V,17.0,V,10.0,V,13.0,V,19.0,V,24.0,V,12.0,V,12.0,V,13.0,V,16.0,V,12.0,V,16.0,V,19.0,V,33.0,V,20.0,V,11.0,V,26.0,V,22.0,V,23.0,V,32.0,N,33.0,V,37.0,V,21.0,V,34.0,V,34.0,V,0.0,N,0.0,N,20.413793103448278
122,28,79,8,10,28079008_10_47,2012,3,37.0,V,36.0,V,31.0,V,23.0,V,17.0,V,20.0,V,25.0,V,37.0,V,28.0,V,33.0,V,30.0,V,45.0,V,53.0,V,48.0,V,37.0,V,40.0,V,37.0,V,12.0,V,9.0,V,15.0,V,12.0,V,26.0,V,24.0,V,22.0,V,34.0,V,34.0,V,35.0,V,39.0,V,30.0,V,32.0,V,37.0,V,30.322580645161292
123,28,79,8,10,28079008_10_47,2012,4,38.0,V,24.0,V,19.0,V,17.0,V,15.0,V,12.0,V,13.0,V,17.0,V,16.0,V,26.0,V,18.0,V,19.0,V,16.0,V,13.0,V,9.0,V,16.0,V,21.0,V,20.0,V,19.0,V,20.0,V,18.0,V,15.0,V,23.0,V,20.0,V,30.0,V,18.0,V,18.0,V,10.0,V,9.0,V,14.0,V,0.0,N,18.2
124,28,79,8,10,28079008_10_47,2012,5,13.0,V,16.0,V,22.0,V,14.0,V,14.0,V,14.0,V,22.0,V,21.0,V,30.0,V,36.0,V,36.0,V,44.0,V,31.0,V,26.0,V,19.0,V,35.0,V,53.0,V,50.0,V,20.0,V,11.0,V,14.0,V,20.0,V,19.0,V,29.0,V,39.0,V,26.0,V,20.0,V,26.0,V,31.0,V,46.0,V,40.0,V,27.129032258064516
125,28,79,8,10,28079008_10_47,2012,6,50.0,V,63.0,V,23.0,V,31.0,V,36.0,V,41.0,V,39.0,V,39.0,N,28.0,V,21.0,V,19.0,V,17.0,N,27.0,V,40.0,V,28.0,V,33.0,V,22.0,V,36.0,V,42.0,V,30.0,V,28.0,V,25.0,V,33.0,V,30.0,V,42.0,V,59.0,V,108.0,V,153.0,V,123.0,V,22.0,V,0.0,N,43.1
126,28,79,8,10,28079008_10_47,2012,7,11.0,V,24.0,V,37.0,V,31.0,V,19.0,V,20.0,V,29.0,V,16.0,V,30.0,V,27.0,V,35.0,V,27.0,V,45.0,V,20.0,V,27.0,V,45.0,V,38.0,V,42.0,V,59.0,V,54.0,V,25.0,V,18.0,V,35.0,V,58.0,V,62.0,V,66.0,V,40.0,V,32.0,V,32.0,V,40.0,V,41.0,V,35.193548387096776
127,28,79,8,10,28079008_10_47,2012,8,35.0,V,30.0,V,26.0,V,29.0,V,20.0,V,21.0,V,36.0,V,50.0,V,80.0,V,98.0,V,82.0,V,24.0,V,28.0,V,21.0,V,18.0,V,23.0,V,42.0,V,70.0,V,68.0,V,87.0,V,91.0,V,88.0,V,35.0,V,27.0,V,11.0,V,20.0,V,31.0,V,30.0,V,26.0,V,20.0,V,10.0,V,41.41935483870968
128,28,79,8,10,28079008_10_47,2012,9,9.0,V,8.0,V,11.0,V,15.0,V,28.0,V,32.0,V,36.0,V,25.0,V,17.0,V,32.0,V,34.0,V,24.0,V,8.0,V,24.0,V,26.0,V,35.0,V,50.0,V,48.0,V,23.0,V,35.0,V,39.0,V,41.0,V,31.0,V,15.0,V,17.0,V,13.0,V,16.0,V,11.0,V,7.0,V,10.0,V,0.0,N,24.266666666666666
129,28,79,8,10,28079008_10_47,2012,10,19.0,V,21.0,V,24.0,V,31.0,V,31.0,V,27.0,V,25.0,V,29.0,V,23.0,V,17.0,V,11.0,V,9.0,V,7.0,V,10.0,V,9.0,V,16.0,V,28.0,V,23.0,V,8.0,V,7.0,V,9.0,V,15.0,V,18.0,V,14.0,V,7.0,V,8.0,V,8.0,V,5.0,V,12.0,V,11.0,V,9.0,V,16.129032258064516
130,28,79,8,10,28079008_10_47,2012,11,9.0,V,8.0,V,8.0,V,6.0,V,10.0,V,11.0,V,12.0,V,11.0,V,7.0,V,7.0,V,7.0,V,9.0,V,10.0,V,15.0,V,14.0,V,14.0,V,11.0,V,8.0,V,12.0,V,20.0,V,17.0,V,19.0,V,22.0,V,20.0,V,30.0,V,14.0,V,10.0,V,12.0,V,12.0,V,12.0,V,0.0,N,12.9
131,28,79,8,10,28079008_10_47,2012,12,7.0,V,13.0,V,19.0,V,10.0,V,9.0,V,12.0,V,13.0,V,9.0,V,10.0,V,21.0,V,15.0,V,15.0,V,17.0,V,8.0,V,7.0,V,7.0,V,10.0,V,12.0,V,9.0,V,9.0,V,10.0,V,7.0,V,9.0,V,8.0,V,9.0,V,11.0,V,15.0,V,14.0,V,13.0,V,11.0,V,9.0,V,11.580645161290322
450,28,79,18,10,28079018_10_47,2012,1,23.0,V,12.0,V,25.0,V,29.0,V,34.0,V,21.0,V,16.0,V,18.0,V,28.0,V,26.0,V,27.0,V,26.0,V,40.0,V,33.0,V,30.0,V,7.0,V,13.0,V,24.0,V,26.0,V,20.0,V,16.0,V,17.0,V,17.0,V,18.0,V,28.0,V,37.0,V,16.0,V,6.0,V,9.0,V,18.0,V,22.0,V,22.387096774193548
451,28,79,18,10,28079018_10_47,2012,2,22.0,V,11.0,V,11.0,V,9.0,V,8.0,V,13.0,V,6.0,V,10.0,V,13.0,V,20.0,V,13.0,V,13.0,V,12.0,V,10.0,V,14.0,V,14.0,V,15.0,V,17.0,V,13.0,V,14.0,V,27.0,V,26.0,V,28.0,V,29.0,V,24.0,V,25.0,V,20.0,V,26.0,V,29.0,V,0.0,N,0.0,N,17.413793103448278
452,28,79,18,10,28079018_10_47,2012,3,35.0,V,28.0,V,17.0,V,10.0,V,13.0,V,17.0,V,19.0,V,28.0,V,26.0,V,25.0,V,21.0,V,25.0,V,32.0,V,35.0,V,33.0,V,29.0,V,25.0,V,11.0,V,12.0,V,12.0,V,10.0,V,22.0,V,20.0,V,19.0,V,28.0,V,29.0,V,30.0,V,32.0,V,26.0,V,27.0,V,28.0,V,23.806451612903224
453,28,79,18,10,28079018_10_47,2012,4,26.0,V,19.0,V,13.0,V,12.0,V,11.0,V,7.0,V,7.0,V,12.0,V,14.0,V,15.0,V,11.0,V,12.0,V,10.0,V,7.0,V,7.0,V,12.0,V,18.0,V,12.0,V,10.0,V,11.0,V,11.0,V,10.0,V,14.0,V,12.0,V,19.0,V,10.0,V,12.0,V,5.0,V,7.0,V,8.0,V,0.0,N,12.3
454,28,79,18,10,28079018_10_47,2012,5,12.0,V,16.0,V,19.0,V,9.0,V,10.0,V,8.0,V,15.0,V,11.0,V,18.0,V,25.0,V,34.0,V,46.0,V,38.0,V,39.0,V,53.0,V,36.0,V,49.0,V,40.0,V,14.0,V,8.0,V,13.0,V,13.0,V,19.0,V,22.0,V,32.0,V,17.0,V,19.0,V,25.0,V,28.0,V,34.0,V,37.0,V,25.0
455,28,79,18,10,28079018_10_47,2012,6,42.0,V,58.0,V,24.0,V,26.0,V,34.0,V,28.0,V,24.0,V,21.0,V,30.0,V,18.0,V,23.0,V,19.0,V,24.0,V,37.0,V,23.0,V,28.0,V,21.0,V,32.0,V,39.0,V,32.0,V,20.0,V,21.0,V,32.0,V,34.0,V,33.0,V,51.0,V,115.0,V,166.0,V,129.0,V,25.0,V,0.0,N,40.86666666666667
456,28,79,18,10,28079018_10_47,2012,7,16.0,V,21.0,V,37.0,V,39.0,V,23.0,V,19.0,V,25.0,V,17.0,V,25.0,V,20.0,V,33.0,V,26.0,V,31.0,V,18.0,V,22.0,V,35.0,V,26.0,V,33.0,V,55.0,V,44.0,V,28.0,V,22.0,V,28.0,V,52.0,V,56.0,V,66.0,V,39.0,V,33.0,V,29.0,V,35.0,V,32.0,V,32.354838709677416
457,28,79,18,10,28079018_10_47,2012,8,24.0,V,25.0,V,27.0,V,28.0,V,18.0,V,16.0,V,40.0,V,45.0,V,79.0,V,107.0,V,75.0,V,23.0,V,25.0,V,23.0,V,18.0,V,15.0,V,48.0,V,88.0,V,86.0,V,112.0,V,114.0,V,111.0,V,38.0,V,27.0,V,12.0,V,20.0,V,37.0,V,25.0,V,25.0,V,27.0,V,19.0,V,45.03225806451613
458,28,79,18,10,28079018_10_47,2012,9,14.0,V,14.0,V,16.0,V,20.0,V,24.0,V,30.0,V,43.0,V,31.0,V,19.0,V,34.0,V,38.0,V,39.0,V,13.0,V,24.0,V,26.0,V,27.0,V,42.0,V,39.0,V,28.0,V,39.0,V,36.0,V,40.0,V,26.0,V,11.0,V,13.0,V,10.0,V,16.0,V,11.0,V,7.0,V,12.0,V,0.0,N,25.4
459,28,79,18,10,28079018_10_47,2012,10,21.0,V,24.0,V,28.0,V,30.0,V,39.0,V,27.0,V,30.0,V,33.0,V,31.0,V,22.0,V,11.0,V,10.0,V,8.0,V,10.0,V,10.0,V,21.0,V,30.0,V,34.0,V,10.0,V,10.0,V,14.0,V,27.0,V,31.0,V,28.0,V,13.0,V,10.0,V,10.0,V,9.0,V,21.0,V,16.0,V,12.0,V,21.0
460,28,79,18,10,28079018_10_47,2012,11,11.0,V,10.0,V,12.0,V,9.0,V,10.0,V,13.0,V,14.0,V,14.0,V,9.0,V,6.0,V,7.0,V,11.0,V,14.0,V,22.0,V,22.0,V,22.0,V,17.0,V,12.0,V,23.0,V,29.0,V,28.0,V,23.0,V,33.0,V,31.0,V,46.0,V,16.0,V,13.0,V,12.0,V,13.0,V,19.0,V,0.0,N,18.1
461,28,79,18,10,28079018_10_47,2012,12,17.0,V,22.0,V,25.0,V,12.0,V,10.0,V,17.0,V,18.0,V,12.0,V,15.0,V,33.0,V,30.0,V,31.0,V,26.0,V,8.0,V,7.0,V,8.0,V,9.0,V,14.0,V,13.0,V,10.0,V,10.0,V,9.0,V,18.0,V,30.0,V,18.0,V,15.0,V,24.0,V,32.0,V,18.0,V,15.0,V,14.0,V,18.161290322580644
582,28,79,24,10,28079024_10_47,2012,1,21.0,V,5.0,V,14.0,V,23.0,V,24.0,V,18.0,V,10.0,V,14.0,V,18.0,V,17.0,V,16.0,V,21.0,V,31.0,V,31.0,V,25.0,V,5.0,V,9.0,V,14.0,V,18.0,V,13.0,V,10.0,V,13.0,V,12.0,V,12.0,V,21.0,V,28.0,V,13.0,V,5.0,V,6.0,V,13.0,V,16.0,V,16.774193548387096
583,28,79,24,10,28079024_10_47,2012,2,18.0,V,10.0,V,10.0,V,8.0,V,8.0,V,10.0,V,4.0,V,7.0,V,11.0,V,16.0,V,11.0,V,10.0,V,8.0,V,7.0,V,7.0,V,8.0,V,10.0,V,15.0,V,12.0,V,5.0,N,0.0,N,16.0,N,20.0,V,20.0,V,19.0,V,22.0,V,11.0,V,20.0,V,22.0,V,0.0,N,0.0,N,13.214285714285714
584,28,79,24,10,28079024_10_47,2012,3,28.0,V,24.0,V,14.0,V,9.0,V,9.0,V,13.0,V,13.0,V,22.0,V,16.0,V,21.0,V,20.0,V,19.0,V,21.0,V,25.0,V,26.0,V,26.0,V,21.0,V,20.0,V,13.0,V,10.0,V,9.0,V,17.0,V,16.0,V,18.0,V,23.0,V,24.0,V,24.0,V,27.0,V,22.0,V,21.0,V,23.0,V,20.0
585,28,79,24,10,28079024_10_47,2012,4,24.0,V,13.0,V,11.0,V,9.0,V,10.0,V,7.0,V,6.0,V,10.0,V,12.0,V,10.0,V,8.0,V,10.0,V,7.0,V,5.0,V,5.0,N,10.0,N,9.0,N,9.0,V,8.0,V,8.0,V,9.0,V,10.0,V,12.0,V,10.0,V,16.0,V,7.0,V,9.0,V,4.0,V,6.0,V,6.0,V,0.0,N,10.233333333333333
586,28,79,24,10,28079024_10_47,2012,5,9.0,V,12.0,V,14.0,V,7.0,V,9.0,V,7.0,V,11.0,V,8.0,V,12.0,V,22.0,V,27.0,V,41.0,V,30.0,V,17.0,V,19.0,V,25.0,V,45.0,V,36.0,V,13.0,V,8.0,V,9.0,V,10.0,V,12.0,V,17.0,V,27.0,V,15.0,V,13.0,V,17.0,V,20.0,V,25.0,V,30.0,V,19.193548387096776
587,28,79,24,10,28079024_10_47,2012,6,37.0,V,51.0,V,19.0,V,15.0,V,25.0,V,22.0,V,18.0,V,15.0,V,24.0,V,12.0,V,14.0,V,11.0,V,15.0,V,31.0,V,15.0,V,23.0,V,16.0,V,28.0,V,35.0,V,20.0,V,15.0,V,15.0,V,27.0,V,28.0,V,31.0,V,47.0,V,103.0,V,156.0,V,119.0,V,18.0,V,0.0,N,34.46666666666667
588,28,79,24,10,28079024_10_47,2012,7,11.0,V,14.0,V,26.0,V,24.0,V,15.0,V,13.0,V,21.0,V,12.0,V,18.0,V,18.0,V,35.0,V,22.0,V,29.0,V,20.0,V,25.0,V,36.0,V,26.0,V,36.0,V,52.0,V,42.0,V,27.0,V,18.0,V,24.0,V,50.0,V,53.0,V,61.0,V,36.0,V,30.0,V,26.0,V,30.0,V,28.0,V,29.29032258064516
589,28,79,24,10,28079024_10_47,2012,8,18.0,V,19.0,V,21.0,V,24.0,V,14.0,V,13.0,V,33.0,V,40.0,V,74.0,V,106.0,V,77.0,V,21.0,V,21.0,V,16.0,V,14.0,V,12.0,V,41.0,V,91.0,V,89.0,V,113.0,V,114.0,V,111.0,V,34.0,V,23.0,V,14.0,V,14.0,V,25.0,V,18.0,V,18.0,V,26.0,V,15.0,V,41.935483870967744
590,28,79,24,10,28079024_10_47,2012,9,14.0,V,11.0,V,14.0,V,14.0,V,16.0,V,23.0,V,29.0,V,34.0,V,17.0,V,26.0,V,26.0,V,21.0,V,7.0,V,15.0,V,17.0,V,26.0,V,37.0,V,33.0,V,25.0,V,36.0,V,33.0,V,31.0,V,24.0,V,9.0,V,12.0,V,10.0,V,12.0,V,9.0,V,6.0,V,9.0,V,0.0,N,20.933333333333334
