,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31,total
731,28,79,36,8,28079036_8_8,2021,11,18.0,V,24.0,V,21.0,V,38.0,V,19.0,V,18.0,V,53.0,V,42.0,V,53.0,V,56.0,V,82.0,V,56.0,V,47.0,V,32.0,V,19.0,V,44.0,V,29.0,V,45.0,V,40.0,V,35.0,V,43.0,V,40.0,V,35.0,V,41.0,V,49.0,V,60.0,V,25.0,V,17.0,V,28.0,V,69.0,V,0.0,N,43.13333333333333
732,28,79,36,8,28079036_8_8,2021,12,59.0,V,33.0,V,57.0,V,49.0,V,15.0,V,26.0,V,37.0,V,14.0,V,25.0,V,20.0,V,44.0,V,52.0,V,47.0,V,48.0,V,65.0,V,61.0,V,64.0,V,48.0,V,44.0,V,59.0,V,59.0,V,49.0,V,52.0,V,37.0,V,23.0,V,26.0,V,18.0,V,30.0,V,47.0,V,50.0,V,46.0,V,45.83870967741935
770,28,79,38,8,28079038_8_8,2021,1,16.0,V,28.0,V,34.0,V,41.0,V,65.0,V,43.0,V,44.0,V,36.0,V,22.0,V,26.0,V,47.0,V,94.0,V,122.0,V,147.0,V,130.0,V,134.0,V,129.0,V,122.0,V,84.0,V,76.0,V,23.0,V,21.0,V,13.0,V,13.0,V,19.0,V,26.0,V,33.0,V,33.0,V,29.0,V,11.0,V,12.0,V,57.774193548387096
771,28,79,38,8,28079038_8_8,2021,2,21.0,V,24.0,V,37.0,V,40.0,V,37.0,V,30.0,V,15.0,V,20.0,V,25.0,V,23.0,V,36.0,V,30.0,V,33.0,V,44.0,V,36.0,V,46.0,V,65.0,V,59.0,V,59.0,V,34.0,V,18.0,V,31.0,V,45.0,V,41.0,V,42.0,V,52.0,V,38.0,V,17.0,V,0.0,N,0.0,N,0.0,N,39.892857142857146
772,28,79,38,8,28079038_8_8,2021,3,45.0,V,36.0,V,50.0,V,62.0,V,40.0,V,24.0,V,24.0,V,46.0,V,28.0,V,43.0,V,33.0,V,28.0,V,34.0,V,28.0,V,33.0,V,27.0,V,24.0,V,29.0,V,21.0,V,20.0,V,24.0,V,45.0,V,49.0,V,47.0,V,48.0,V,34.0,V,24.0,V,18.0,V,32.0,V,32.0,V,31.0,V,38.03225806451613
773,28,79,38,8,28079038_8_8,2021,4,18.0,V,16.0,V,28.0,V,25.0,V,35.0,V,48.0,V,29.0,V,27.0,V,35.0,V,18.0,V,15.0,V,31.0,V,47.0,V,29.0,V,29.0,V,30.0,V,19.0,V,18.0,V,39.0,V,34.0,V,27.0,V,32.0,V,25.0,V,16.0,V,25.0,V,30.0,V,35.0,V,24.0,V,18.0,V,25.0,V,0.0,N,31.6
774,28,79,38,8,28079038_8_8,2021,5,19.0,V,20.0,V,19.0,V,32.0,V,37.0,V,37.0,V,29.0,V,25.0,V,14.0,V,15.0,V,16.0,V,13.0,V,16.0,V,20.0,V,14.0,V,9.0,V,24.0,V,30.0,V,20.0,V,31.0,V,37.0,V,13.0,V,14.0,V,19.0,V,26.0,V,26.0,V,29.0,V,32.0,V,27.0,V,17.0,V,24.0,V,26.64516129032258
775,28,79,38,8,28079038_8_8,2021,6,23.0,V,30.0,V,22.0,V,29.0,V,18.0,V,27.0,V,32.0,V,35.0,V,41.0,V,28.0,V,29.0,V,13.0,V,15.0,V,28.0,V,22.0,V,25.0,V,28.0,V,21.0,V,15.0,V,10.0,V,14.0,V,29.0,V,22.0,V,28.0,V,32.0,V,25.0,V,11.0,V,18.0,V,24.0,V,26.0,V,0.0,N,28.1
776,28,79,38,8,28079038_8_8,2021,7,32.0,V,35.0,V,14.0,V,11.0,V,18.0,V,18.0,V,22.0,V,22.0,V,32.0,V,32.0,V,18.0,V,15.0,V,15.0,V,21.0,V,28.0,V,28.0,V,17.0,V,17.0,V,28.0,V,38.0,V,34.0,V,31.0,V,38.0,V,13.0,V,12.0,V,21.0,V,24.0,V,27.0,V,21.0,V,20.0,V,10.0,V,26.967741935483872
777,28,79,38,8,28079038_8_8,2021,8,10.0,V,17.0,V,22.0,V,14.0,V,24.0,V,15.0,V,8.0,V,13.0,V,18.0,V,21.0,V,28.0,V,19.0,V,37.0,V,34.0,V,16.0,V,21.0,V,14.0,V,15.0,V,17.0,V,18.0,V,24.0,V,24.0,V,22.0,V,17.0,V,18.0,V,32.0,V,29.0,V,14.0,V,14.0,V,14.0,V,23.0,V,23.774193548387096
